"zip","year","arts_organizations","total_revenue","total_compensation","total_expenses","contributed_revenue"
10001,"2005",66,46404523,11658643,45108833,15161366
10001,"2006",78,72706786,17052649,58462830,34109626
10001,"2007",76,60939248,17980398,59717146,23900138
10001,"2008",75,63794364,17697496,61172975,21295063
10001,"2009",70,61753210,18219273,60183680,28463380
10001,"2010",77,76957880,21690244,72093384,35136865
10001,"2011",75,84200029,21140475,66969433,42005381
10001,"2012",77,85361090,23023122,66460615,42411964
10001,"2013",78,77970772,25193292,77182731,31627667
10001,"2014",77,79596952,26557786,84115431,30638322
10001,"2015",75,84630476,25471145,81483751,33636684
10002,"2005",21,8288615,2661885,6637642,5152977
10002,"2006",21,7204003,2925080,7213453,3565424
10002,"2007",21,28289039,5623282,13201611,22057899
10002,"2008",26,42122780,10395091,28842044,30566066
10002,"2009",23,30247369,10748321,27549187,19920143
10002,"2010",23,26707431,9667059,25568162,17108245
10002,"2011",25,28762340,10773235,27487697,18613151
10002,"2012",27,33340879,13231432,32529655,21706013
10002,"2013",28,30727624,13751098,33566418,18962800
10002,"2014",29,44317105,14467896,35087625,29782452
10002,"2015",30,32500667,16068631,38682889,19272884
10003,"2005",93,113511286,36201599,112484924,55429688
10003,"2006",98,81587254,26754497,73440510,43060308
10003,"2007",102,115839992,38661080,109486699,57209139
10003,"2008",106,112217545,42512254,115716660,56039408
10003,"2009",100,102661634,38875482,101924185,59412233
10003,"2010",107,107228040,40303340,105816275,55145132
10003,"2011",116,112279803,39730824,110054655,56274189
10003,"2012",109,122265223,45423635,115073854,64485023
10003,"2013",111,133773477,49106300,124899224,65468154
10003,"2014",123,147882537,50319991,134003930,80032398
10003,"2015",116,153597493,54646287,138633998,87018430
10004,"2005",4,1072995,382673,1117596,751317
10004,"2006",5,5233182,1527828,3535980,4221167
10004,"2007",12,17433587,4108301,11554187,10103125
10004,"2008",11,9926894,4135453,10750400,2608063
10004,"2009",11,10902780,3024365,10300872,4033226
10004,"2010",9,30735981,16825407,39009916,15346346
10004,"2011",11,35165943,17297532,39001968,18810994
10004,"2012",13,10600614,3157258,11131841,3089504
