"zip","industry","year","all","1_4","5_9","10_19","20_49","50_99","100_249","250_499","500_999","1000_more","1000_1499","1500_2499","2500_4999","5000_more"
"10001","Dance companies","2004","4","1","1","1","1","0","0","0","0","0","0","0","0","0"
"10001","Dance companies","2005","4","1","0","2","1","0","0","0","0","0","0","0","0","0"
"10001","Dance companies","2006","4","1","0","1","2","0","0","0","0","0","0","0","0","0"
"10001","Dance companies","2007","5","2","0","2","0","1","0","0","0","0","0","0","0","0"
"10001","Dance companies","2008","5","2","0","2","0","1","0","0","0","0","0","0","0","0"
"10001","Dance companies","2009","4","2","0","2","0","0","0","0","0","0","0","0","0","0"
"10001","Dance companies","2010","2","0","0","2","0","0","0","0","0","0","0","0","0","0"
"10001","Dance companies","2011","7","3","1","2","1","0","0","0","0","0","0","0","0","0"
"10001","Dance companies","2012","5","1","1","2","1","0","0","0","0","0","0","0","0","0"
"10001","Dance companies","2013","6","2","0","1","3","0","0","0","0","0","0","0","0","0"
"10001","Dance companies","2014","5","1","0","2","2","0","0","0","0","0","0","0","0","0"
"10001","Dance companies","2015","5","0","0","3","2","0","0","0","0","0","0","0","0","0"
"10001","Dance companies","2016","4","0","1","3","0","0","0","0","0","0","0","0","0","0"
"10001","Fine arts schools","2004","21","11","8","0","2","0","0","0","0","0","0","0","0","0"
"10001","Fine arts schools","2005","20","10","7","1","2","0","0","0","0","0","0","0","0","0"
"10001","Fine arts schools","2006","21","9","4","5","3","0","0","0","0","0","0","0","0","0"
"10001","Fine arts schools","2007","22","11","5","2","4","0","0","0","0","0","0","0","0","0"
"10001","Fine arts schools","2008","17","8","5","1","2","1","0","0","0","0","0","0","0","0"
"10001","Fine arts schools","2009","20","8","4","3","4","1","0","0","0","0","0","0","0","0"
"10001","Fine arts schools","2010","22","11","3","3","3","2","0","0","0","0","0","0","0","0"
"10001","Fine arts schools","2011","22","11","3","3","3","2","0","0","0","0","0","0","0","0"
"10001","Fine arts schools","2012","21","9","4","2","6","0","0","0","0","0","0","0","0","0"
"10001","Fine arts schools","2013","22","9","3","4","5","1","0","0","0","0","0","0","0","0"
