"zip","industry","year","all","class1","class2","class3","class4","class5","class6","class7","class8","class9","weighted_all","weighted_class1","weighted_class2","weighted_class3","weighted_class4","weighted_class5","weighted_class6","weighted_class7","weighted_class8","weighted_class9"
10001,"Dance companies",2005,4,1,0,2,1,0,0,0,0,0,62,2,0,30,30,0,0,0,0,0
10001,"Dance companies",2006,4,1,0,1,2,0,0,0,0,0,77,2,0,15,60,0,0,0,0,0
10001,"Dance companies",2007,5,2,0,2,0,1,0,0,0,0,104,4,0,30,0,70,0,0,0,0
10001,"Dance companies",2008,5,2,0,2,0,1,0,0,0,0,104,4,0,30,0,70,0,0,0,0
10001,"Dance companies",2009,4,2,0,2,0,0,0,0,0,0,34,4,0,30,0,0,0,0,0,0
10001,"Dance companies",2010,2,0,0,2,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0
10001,"Dance companies",2011,7,3,1,2,1,0,0,0,0,0,73,6,7,30,30,0,0,0,0,0
10001,"Dance companies",2012,5,1,1,2,1,0,0,0,0,0,69,2,7,30,30,0,0,0,0,0
10001,"Dance companies",2013,6,2,0,1,3,0,0,0,0,0,109,4,0,15,90,0,0,0,0,0
10001,"Dance companies",2014,5,1,0,2,2,0,0,0,0,0,92,2,0,30,60,0,0,0,0,0
10001,"Dance companies",2015,5,0,0,3,2,0,0,0,0,0,105,0,0,45,60,0,0,0,0,0
10001,"Fine arts schools",2005,20,10,7,1,2,0,0,0,0,0,144,20,49,15,60,0,0,0,0,0
10001,"Fine arts schools",2006,21,9,4,5,3,0,0,0,0,0,211,18,28,75,90,0,0,0,0,0
10001,"Fine arts schools",2007,22,11,5,2,4,0,0,0,0,0,207,22,35,30,120,0,0,0,0,0
10001,"Fine arts schools",2008,17,8,5,1,2,1,0,0,0,0,196,16,35,15,60,70,0,0,0,0
10001,"Fine arts schools",2009,20,8,4,3,4,1,0,0,0,0,279,16,28,45,120,70,0,0,0,0
10001,"Fine arts schools",2010,22,11,3,3,3,2,0,0,0,0,318,22,21,45,90,140,0,0,0,0
10001,"Fine arts schools",2011,22,11,3,3,3,2,0,0,0,0,318,22,21,45,90,140,0,0,0,0
10001,"Fine arts schools",2012,21,9,4,2,6,0,0,0,0,0,256,18,28,30,180,0,0,0,0,0
10001,"Fine arts schools",2013,22,9,3,4,5,1,0,0,0,0,319,18,21,60,150,70,0,0,0,0
10001,"Fine arts schools",2014,22,8,4,3,4,3,0,0,0,0,419,16,28,45,120,210,0,0,0,0
10001,"Fine arts schools",2015,22,8,2,4,5,3,0,0,0,0,450,16,14,60,150,210,0,0,0,0
10001,"Independent artists, writers, and performers",2005,71,58,9,2,0,1,1,0,0,0,449,116,63,30,0,70,170,0,0,0
10001,"Independent artists, writers, and performers",2006,64,52,7,2,2,1,0,0,0,0,313,104,49,30,60,70,0,0,0,0
10001,"Independent artists, writers, and performers",2007,80,65,9,3,2,1,0,0,0,0,368,130,63,45,60,70,0,0,0,0
10001,"Independent artists, writers, and performers",2008,79,63,8,6,0,1,1,0,0,0,512,126,56,90,0,70,170,0,0,0
10001,"Independent artists, writers, and performers",2009,77,64,4,7,1,0,1,0,0,0,461,128,28,105,30,0,170,0,0,0
10001,"Independent artists, writers, and performers",2010,75,65,4,4,1,0,1,0,0,0,418,130,28,60,30,0,170,0,0,0
10001,"Independent artists, writers, and performers",2011,80,70,3,4,2,0,1,0,0,0,451,140,21,60,60,0,170,0,0,0
10001,"Independent artists, writers, and performers",2012,72,59,5,6,1,0,1,0,0,0,443,118,35,90,30,0,170,0,0,0
10001,"Independent artists, writers, and performers",2013,77,63,8,3,2,0,1,0,0,0,457,126,56,45,60,0,170,0,0,0
10001,"Independent artists, writers, and performers",2014,88,77,5,3,1,1,1,0,0,0,504,154,35,45,30,70,170,0,0,0
10001,"Independent artists, writers, and performers",2015,92,78,7,4,1,1,1,0,0,0,535,156,49,60,30,70,170,0,0,0
10001,"Integrated record production/distribution",2005,7,5,1,1,0,0,0,0,0,0,32,10,7,15,0,0,0,0,0,0
10001,"Integrated record production/distribution",2006,9,6,2,0,1,0,0,0,0,0,56,12,14,0,30,0,0,0,0,0
10001,"Integrated record production/distribution",2007,10,6,2,1,0,0,1,0,0,0,211,12,14,15,0,0,170,0,0,0
10001,"Integrated record production/distribution",2008,9,7,1,1,0,0,0,0,0,0,36,14,7,15,0,0,0,0,0,0
10001,"Integrated record production/distribution",2009,5,4,0,1,0,0,0,0,0,0,23,8,0,15,0,0,0,0,0,0
10001,"Integrated record production/distribution",2010,5,4,1,0,0,0,0,0,0,0,15,8,7,0,0,0,0,0,0,0
10001,"Integrated record production/distribution",2011,4,3,1,0,0,0,0,0,0,0,13,6,7,0,0,0,0,0,0,0
10001,"Integrated record production/distribution",2012,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
10001,"Integrated record production/distribution",2013,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10001,"Integrated record production/distribution",2014,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10001,"Integrated record production/distribution",2015,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10001,"Motion picture and video distribution",2005,6,4,1,0,1,0,0,0,0,0,45,8,7,0,30,0,0,0,0,0
10001,"Motion picture and video distribution",2006,5,3,0,1,1,0,0,0,0,0,51,6,0,15,30,0,0,0,0,0
10001,"Motion picture and video distribution",2007,2,1,0,1,0,0,0,0,0,0,17,2,0,15,0,0,0,0,0,0
10001,"Motion picture and video distribution",2008,4,2,1,0,1,0,0,0,0,0,41,4,7,0,30,0,0,0,0,0
10001,"Motion picture and video distribution",2009,4,2,1,1,0,0,0,0,0,0,26,4,7,15,0,0,0,0,0,0
10001,"Motion picture and video distribution",2010,4,2,1,0,1,0,0,0,0,0,41,4,7,0,30,0,0,0,0,0
10001,"Motion picture and video distribution",2011,5,3,1,0,1,0,0,0,0,0,43,6,7,0,30,0,0,0,0,0
10001,"Motion picture and video distribution",2012,5,1,2,2,0,0,0,0,0,0,46,2,14,30,0,0,0,0,0,0
10001,"Motion picture and video distribution",2013,4,0,2,2,0,0,0,0,0,0,44,0,14,30,0,0,0,0,0,0
10001,"Motion picture and video distribution",2014,5,1,1,3,0,0,0,0,0,0,54,2,7,45,0,0,0,0,0,0
10001,"Motion picture and video distribution",2015,5,1,1,2,1,0,0,0,0,0,69,2,7,30,30,0,0,0,0,0
10001,"Motion picture and video production",2005,89,66,8,4,9,1,1,0,0,0,758,132,56,60,270,70,170,0,0,0
10001,"Motion picture and video production",2006,105,77,8,6,11,2,1,0,0,0,940,154,56,90,330,140,170,0,0,0
10001,"Motion picture and video production",2007,110,78,11,6,9,3,1,2,0,0,1713,156,77,90,270,210,170,740,0,0
10001,"Motion picture and video production",2008,98,67,17,6,6,1,0,1,0,0,963,134,119,90,180,70,0,370,0,0
10001,"Motion picture and video production",2009,95,67,12,5,9,1,1,0,0,0,803,134,84,75,270,70,170,0,0,0
10001,"Motion picture and video production",2010,100,75,11,8,5,1,0,0,0,0,567,150,77,120,150,70,0,0,0,0
10001,"Motion picture and video production",2011,91,64,14,8,4,0,1,0,0,0,636,128,98,120,120,0,170,0,0,0
10001,"Motion picture and video production",2012,94,61,16,8,5,0,4,0,0,0,1184,122,112,120,150,0,680,0,0,0
10001,"Motion picture and video production",2013,94,63,10,14,6,0,1,0,0,0,756,126,70,210,180,0,170,0,0,0
10001,"Motion picture and video production",2014,110,69,19,8,9,2,2,1,0,0,1511,138,133,120,270,140,340,370,0,0
10001,"Motion picture and video production",2015,111,64,17,11,10,6,2,0,1,0,2212,128,119,165,300,420,340,0,740,0
10001,"Museums",2005,3,2,1,0,0,0,0,0,0,0,11,4,7,0,0,0,0,0,0,0
10001,"Museums",2006,4,2,2,0,0,0,0,0,0,0,18,4,14,0,0,0,0,0,0,0
10001,"Museums",2007,6,5,1,0,0,0,0,0,0,0,17,10,7,0,0,0,0,0,0,0
10001,"Museums",2008,10,8,2,0,0,0,0,0,0,0,30,16,14,0,0,0,0,0,0,0
10001,"Museums",2009,8,8,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0
10001,"Museums",2010,10,8,2,0,0,0,0,0,0,0,30,16,14,0,0,0,0,0,0,0
10001,"Museums",2011,10,8,2,0,0,0,0,0,0,0,30,16,14,0,0,0,0,0,0,0
10001,"Museums",2012,7,6,1,0,0,0,0,0,0,0,19,12,7,0,0,0,0,0,0,0
10001,"Museums",2013,8,4,4,0,0,0,0,0,0,0,36,8,28,0,0,0,0,0,0,0
10001,"Museums",2014,12,9,3,0,0,0,0,0,0,0,39,18,21,0,0,0,0,0,0,0
10001,"Museums",2015,14,10,3,1,0,0,0,0,0,0,56,20,21,15,0,0,0,0,0,0
10001,"Music publishers",2005,5,5,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0
10001,"Music publishers",2006,6,5,1,0,0,0,0,0,0,0,17,10,7,0,0,0,0,0,0,0
10001,"Music publishers",2007,8,5,3,0,0,0,0,0,0,0,31,10,21,0,0,0,0,0,0,0
10001,"Music publishers",2008,8,4,2,0,1,0,1,0,0,0,222,8,14,0,30,0,170,0,0,0
10001,"Music publishers",2009,7,3,0,2,1,0,1,0,0,0,236,6,0,30,30,0,170,0,0,0
10001,"Music publishers",2010,7,3,1,2,0,0,1,0,0,0,213,6,7,30,0,0,170,0,0,0
10001,"Music publishers",2011,9,6,0,2,1,0,0,0,0,0,72,12,0,30,30,0,0,0,0,0
10001,"Music publishers",2012,9,7,0,2,0,0,0,0,0,0,44,14,0,30,0,0,0,0,0,0
10001,"Music publishers",2013,8,6,0,1,1,0,0,0,0,0,57,12,0,15,30,0,0,0,0,0
