"zip","year","independent_artists","art_firms"
10001,2005,71,1620
10001,2006,64,2222
10001,2007,80,3125
10001,2008,79,2450
10001,2009,77,2040
10001,2010,75,1848
10001,2011,80,1768
10001,2012,72,2192
10001,2013,77,1998
10001,2014,88,2768
10001,2015,92,3475
10002,2005,14,132
10002,2006,16,138
10002,2007,13,341
10002,2008,17,318
10002,2009,19,214
10002,2010,20,318
10002,2011,24,343
10002,2012,20,595
10002,2013,23,474
10002,2014,27,487
10002,2015,34,444
10003,2005,126,3168
10003,2006,135,2724
10003,2007,185,2913
10003,2008,203,2748
10003,2009,198,2590
10003,2010,215,2702
10003,2011,219,2450
10003,2012,250,2842
10003,2013,271,2758
10003,2014,294,3133
10003,2015,314,3328
10004,2005,2,220
10004,2006,4,224
10004,2007,8,77
10004,2008,7,67
10004,2009,8,32
10004,2010,7,40
10004,2011,6,64
10004,2012,9,459
10004,2013,12,446
10004,2014,10,113
10004,2015,8,132
10005,2005,5,48
10005,2006,5,58
10005,2007,5,66
10005,2008,4,55
10005,2009,5,72
10005,2010,6,82
10005,2011,5,263
10005,2012,8,296
10005,2013,6,283
10005,2014,7,278
10005,2015,7,438
10006,2005,1,17
10006,2006,2,71
10006,2007,3,85
10006,2008,2,132
10006,2009,2,126
10006,2010,2,134
10006,2011,2,117
10006,2012,2,189
10006,2013,5,211
10006,2014,6,52
10006,2015,7,45
10007,2005,8,59
10007,2006,7,72
10007,2007,7,85
10007,2008,5,118
10007,2009,5,122
10007,2010,4,129
10007,2011,4,719
10007,2012,7,381
10007,2013,7,383
10007,2014,7,311
10007,2015,8,395
10009,2005,24,125
10009,2006,30,109
10009,2007,31,81
10009,2008,27,73
10009,2009,26,72
10009,2010,24,83
10009,2011,26,119
10009,2012,29,120
10009,2013,30,150
10009,2014,31,154
10009,2015,37,141
10010,2005,43,521
10010,2006,40,568
10010,2007,42,730
10010,2008,41,880
10010,2009,41,855
10010,2010,35,813
10010,2011,35,752
10010,2012,39,901
10010,2013,33,781
10010,2014,33,896
10010,2015,37,753
10011,2005,76,1156
10011,2006,77,1363
10011,2007,66,1855
10011,2008,81,2261
10011,2009,89,1992
10011,2010,91,1816
10011,2011,88,1849
10011,2012,107,2306
10011,2013,104,1343
10011,2014,109,1696
10011,2015,111,2035
10012,2005,56,1283
10012,2006,50,1033
10012,2007,43,1062
10012,2008,49,783
10012,2009,54,872
10012,2010,55,883
10012,2011,54,943
10012,2012,49,1013
10012,2013,49,1086
10012,2014,45,1058
10012,2015,50,1743
10013,2005,61,1579
10013,2006,54,1926
10013,2007,55,1160
10013,2008,68,1259
10013,2009,69,1581
10013,2010,73,1754
10013,2011,81,1843
10013,2012,102,1633
10013,2013,99,1590
10013,2014,106,2530
10013,2015,114,1815
10014,2005,81,543
10014,2006,93,553
10014,2007,83,823
10014,2008,90,1046
10014,2009,92,788
10014,2010,88,622
10014,2011,93,1116
10014,2012,80,648
10014,2013,89,873
10014,2014,85,1360
10014,2015,76,1411
10015,2005,0,2
10015,2007,0,2
10016,2005,44,806
10016,2006,37,794
10016,2007,45,779
10016,2008,48,755
10016,2009,43,705
10016,2010,53,656
10016,2011,48,517
10016,2012,48,736
10016,2013,45,832
10016,2014,51,843
10016,2015,48,698
10017,2005,58,740
10017,2006,56,1150
10017,2007,31,578
10017,2008,32,772
10017,2009,33,769
10017,2010,36,867
10017,2011,32,788
10017,2012,45,1407
10017,2013,40,1056
10017,2014,45,713
10017,2015,47,918
10018,2005,33,1981
10018,2006,39,1603
10018,2007,42,1268
10018,2008,42,1484
10018,2009,50,1475
10018,2010,51,1428
10018,2011,49,2290
10018,2012,53,2515
10018,2013,51,3312
10018,2014,56,2923
10018,2015,57,3231
10019,2005,127,6800
10019,2006,127,7266
10019,2007,122,6692
10019,2008,123,8523
10019,2009,112,7784
10019,2010,100,6641
10019,2011,109,6543
10019,2012,82,7392
10019,2013,89,7512
10019,2014,86,7086
10019,2015,88,7283
10020,2005,0,42
10020,2006,1,65
10020,2007,1,28
10020,2008,3,11
10020,2009,2,11
10020,2010,2,18
10020,2011,1,13
10020,2012,2,102
10020,2013,2,309
10020,2014,2,232
10020,2015,2,189
10021,2005,57,585
10021,2006,50,697
10021,2007,51,529
10021,2008,45,718
10021,2009,46,564
10021,2010,45,736
10021,2011,39,783
10021,2012,36,676
10021,2013,37,858
10021,2014,36,625
10021,2015,30,450
10022,2005,87,1575
10022,2006,86,1559
10022,2007,78,1503
10022,2008,82,1918
10022,2009,81,2029
10022,2010,74,1763
10022,2011,74,1695
10022,2012,64,1699
10022,2013,61,1567
10022,2014,57,2179
10022,2015,52,1951
10023,2005,76,4245
10023,2006,72,3997
10023,2007,73,3928
10023,2008,88,4379
10023,2009,84,4490
10023,2010,85,4037
10023,2011,79,4465
10023,2012,68,3888
10023,2013,61,4311
10023,2014,73,4487
10023,2015,74,4923
10024,2005,60,1827
10024,2006,59,1795
10024,2007,69,1685
10024,2008,63,1652
10024,2009,64,1670
10024,2010,64,1382
10024,2011,64,1685
10024,2012,66,1770
10024,2013,63,2054
10024,2014,67,1978
10024,2015,74,1964
10025,2005,66,381
10025,2006,69,408
10025,2007,70,388
10025,2008,73,389
10025,2009,76,504
10025,2010,89,417
10025,2011,87,504
10025,2012,88,375
10025,2013,80,383
10025,2014,86,334
10025,2015,89,337
10026,2005,3,8
10026,2006,5,10
10026,2007,5,8
10026,2008,8,106
10026,2009,7,4
10026,2010,9,4
10026,2011,9,19
10026,2012,10,24
10026,2013,11,25
10026,2014,12,22
10026,2015,11,20
10027,2005,8,116
10027,2006,8,233
10027,2007,6,148
10027,2008,8,198
10027,2009,11,158
10027,2010,9,176
10027,2011,7,159
10027,2012,13,215
10027,2013,10,150
10027,2014,12,199
10027,2015,12,201
10028,2005,19,1292
10028,2006,16,1415
10028,2007,14,1280
10028,2008,14,1228
10028,2009,17,1245
10028,2010,17,1228
10028,2011,17,1237
10028,2012,15,1244
10028,2013,13,1386
10028,2014,14,1453
10028,2015,10,1386
10029,2005,4,167
10029,2006,6,171
10029,2007,4,152
10029,2008,3,356
10029,2009,2,254
10029,2010,4,250
10029,2011,4,467
10029,2012,4,557
10029,2013,5,359
10029,2014,5,263
10029,2015,5,274
10030,2005,0,185
10030,2006,0,176
10030,2007,1,183
10030,2008,1,190
10030,2009,2,183
10030,2010,3,196
10030,2011,2,190
10030,2012,2,189
10030,2013,3,187
10030,2014,2,182
10030,2015,2,350
10031,2005,2,106
10031,2006,4,95
10031,2007,6,89
10031,2008,4,87
10031,2009,2,95
10031,2010,2,86
10031,2011,3,97
10031,2012,6,80
10031,2013,7,55
10031,2014,10,95
10031,2015,10,88
10032,2005,1,77
10032,2006,2,73
10032,2007,1,70
10032,2008,1,70
10032,2009,1,73
10032,2010,2,65
10032,2011,3,61
10032,2012,5,55
10032,2013,6,110
10032,2014,4,66
10032,2015,5,66
10033,2005,7,6
10033,2006,4,6
10033,2007,7,42
10033,2008,10,14
10033,2009,9,10
10033,2010,8,19
10033,2011,9,19
10033,2012,7,23
10033,2013,6,25
10033,2014,7,18
10033,2015,7,18
10034,2005,1,6
10034,2006,1,6
10034,2007,2,10
10034,2008,3,8
10034,2009,2,8
10034,2010,2,10
10034,2011,0,8
10034,2012,1,10
10034,2013,2,8
10034,2014,1,10
10034,2015,4,10
10035,2005,0,32
10035,2006,0,41
10035,2007,1,46
10035,2008,1,79
10035,2009,1,57
10035,2010,0,208
10035,2011,0,201
10035,2012,1,202
10035,2013,2,204
10035,2014,2,202
10035,2015,1,224
10036,2005,124,11132
10036,2006,118,11596
10036,2007,91,11160
10036,2008,96,10040
10036,2009,87,9579
10036,2010,96,9974
10036,2011,89,9865
10036,2012,74,9418
10036,2013,74,9608
10036,2014,79,10008
10036,2015,73,11045
10037,2007,0,9
10037,2008,0,9
10037,2009,1,9
10037,2010,1,9
10037,2011,1,7
10037,2012,0,7
10037,2013,1,7
10037,2014,0,7
10037,2015,0,2
10038,2005,7,98
10038,2006,8,172
10038,2007,8,440
10038,2008,6,556
10038,2009,9,547
10038,2010,8,116
10038,2011,7,102
10038,2012,7,101
10038,2013,5,130
10038,2014,6,95
10038,2015,8,100
10039,2005,0,2
10039,2006,0,2
10039,2007,0,4
10039,2008,0,2
10039,2009,1,2
10039,2010,1,4
10039,2011,1,2
10039,2012,1,72
10039,2013,1,70
10039,2014,1,72
10039,2015,3,70
10040,2005,2,0
10040,2006,2,2
10040,2007,1,0
10040,2008,2,2
10040,2009,3,4
10040,2010,1,6
10040,2011,2,10
10040,2012,1,8
10040,2013,1,11
10040,2014,1,23
10040,2015,2,21
10044,2005,1,2
10044,2006,1,15
10044,2007,0,2
10044,2008,0,2
10044,2009,1,7
10044,2010,1,7
10044,2011,1,9
10044,2012,1,9
10044,2013,1,4
10044,2014,1,4
10044,2015,2,15
10069,2005,0,6
10069,2006,1,2
10069,2007,1,2
10069,2008,5,2
10069,2009,5,2
10069,2010,2,2
10069,2011,4,30
10069,2012,3,2
10069,2013,3,2
10069,2014,4,2
10069,2015,4,2
10103,2005,1,7
10103,2006,1,2
10103,2007,1,0
10103,2008,1,0
10103,2009,1,0
10103,2010,1,0
10103,2011,1,0
10104,2005,0,179
10104,2006,0,6
10104,2007,0,9
10104,2008,0,4
10104,2009,0,4
10104,2010,0,2
10104,2011,0,2
10105,2006,1,0
10106,2005,10,189
10106,2006,6,185
10106,2007,9,180
10106,2008,10,756
10106,2009,11,17
10106,2010,11,15
10106,2011,11,17
10106,2012,12,26
10106,2013,11,26
10106,2014,9,19
10106,2015,11,58
10107,2005,12,85
10107,2006,8,76
10107,2007,15,90
10107,2008,19,93
10107,2009,21,73
10107,2010,23,85
10107,2011,27,119
10107,2012,65,102
10107,2013,60,89
10107,2014,66,157
10107,2015,72,97
10110,2005,6,47
10110,2006,5,47
10110,2007,2,27
10110,2008,3,15
10110,2009,2,13
10110,2010,3,15
10110,2011,3,11
10110,2012,4,21
10110,2013,3,19
10110,2014,2,13
10110,2015,3,15
10111,2005,1,7
10111,2006,1,2
10111,2007,1,2
10111,2008,1,2
10111,2009,1,2
10111,2010,1,4
10111,2011,1,6
10111,2012,1,6
10111,2013,1,4
10111,2014,1,6
10111,2015,2,178
10112,2005,2,85
10112,2006,2,6
10112,2007,2,31
10112,2008,2,24
10112,2009,2,186
10112,2010,2,192
10112,2011,3,207
10112,2012,1,209
10112,2013,1,170
10112,2014,2,170
10112,2015,1,170
10115,2007,1,0
10115,2008,0,15
10115,2009,0,7
10115,2010,0,15
10115,2011,0,30
10115,2012,0,30
10115,2013,0,30
10115,2014,0,15
10115,2015,0,17
10118,2005,32,10
10118,2006,34,10
10118,2007,29,38
10118,2008,28,36
10118,2009,28,66
10118,2010,29,66
10118,2011,27,55
10118,2012,36,38
10118,2013,37,240
10118,2014,38,208
10118,2015,36,182
10119,2005,5,8
10119,2006,5,8
10119,2007,6,24
10119,2008,7,27
10119,2009,8,18
10119,2010,8,14
10119,2011,8,16
10119,2012,5,18
10119,2013,3,20
10119,2014,5,16
10119,2015,5,16
10121,2005,1,30
10121,2006,1,0
10122,2005,7,2
10122,2006,8,2
10122,2007,3,9
10122,2008,1,6
10122,2009,4,4
10122,2010,3,6
10122,2011,4,8
10122,2012,12,6
10122,2013,12,10
10122,2014,20,12
10122,2015,22,8
10123,2005,5,10
10123,2006,4,38
10123,2007,3,6
10123,2008,2,4
10123,2009,2,4
10123,2010,1,2
10123,2011,1,11
10123,2012,0,4
10123,2013,0,2
10123,2014,0,2
10123,2015,0,2
10128,2005,26,308
10128,2006,21,333
10128,2007,22,514
10128,2008,27,967
10128,2009,26,983
10128,2010,27,876
10128,2011,21,984
10128,2012,21,973
10128,2013,20,970
10128,2014,21,985
10128,2015,18,994
10152,2015,0,2
10153,2011,0,2
10155,2005,0,2
10155,2006,0,4
10155,2007,0,9
10155,2008,0,9
10155,2009,1,9
10155,2010,1,11
10155,2011,0,11
10155,2012,0,9
10155,2013,0,4
10155,2014,0,4
10155,2015,0,4
10158,2007,0,2
10158,2008,0,4
10158,2009,0,2
10158,2010,0,2
10158,2011,0,17
10158,2012,0,17
10158,2013,0,17
10158,2014,0,17
10158,2015,0,17
10162,2005,0,6
10162,2006,0,4
10162,2007,0,2
10165,2005,6,78
10165,2006,7,53
10165,2007,8,61
10165,2008,5,33
10165,2009,2,42
10165,2010,3,54
10165,2011,4,26
10165,2012,6,21
10165,2013,4,12
10165,2014,4,12
10165,2015,4,8
10166,2006,1,0
10166,2013,1,0
10166,2014,1,0
10166,2015,1,0
10167,2005,1,0
10167,2006,1,0
10167,2007,1,0
10168,2005,0,19
10168,2006,3,64
10168,2007,1,49
10168,2008,1,36
10168,2009,4,64
10168,2010,2,53
10168,2011,1,41
10168,2012,5,36
10168,2013,5,64
10168,2014,8,39
10168,2015,7,34
10169,2005,1,2
10169,2006,1,2
10169,2008,0,30
10169,2011,1,0
10169,2012,1,0
10169,2013,1,2
10169,2014,1,0
10169,2015,1,0
10170,2005,3,12
10170,2006,1,14
10170,2007,2,23
10170,2008,7,18
10170,2009,8,43
10170,2010,9,31
10170,2011,8,48
10170,2012,6,60
10170,2013,5,71
10170,2014,10,57
10170,2015,8,64
10171,2005,0,7
10173,2014,3,0
10173,2015,3,0
10175,2005,2,4
10175,2006,2,2
10175,2007,0,6
10175,2008,1,4
10175,2009,1,6
10175,2010,1,36
10175,2011,1,11
10175,2012,0,9
10175,2013,0,9
10175,2014,0,11
10175,2015,0,11
10176,2005,1,2
10176,2006,1,2
10176,2007,0,15
10178,2005,2,12
10178,2006,2,4
10178,2007,4,4
10178,2008,3,4
10178,2009,3,4
10178,2010,3,4
10178,2011,3,2
10178,2012,4,4
10178,2013,2,2
10178,2014,3,2
10178,2015,2,2
10271,2005,0,4
10271,2006,0,2
10271,2007,0,2
10271,2008,0,2
10271,2009,0,4
10271,2010,0,2
10271,2011,0,2
10271,2012,0,9
10271,2013,0,4
10271,2014,0,2
10271,2015,0,2
10279,2008,0,2
10280,2005,4,12
10280,2006,4,8
10280,2007,2,200
10280,2008,1,204
10280,2009,2,119
10280,2010,2,103
10280,2011,2,105
10280,2012,2,97
10280,2013,1,101
10280,2014,0,95
10280,2015,0,87
10281,2015,0,30
10282,2005,1,4
10282,2006,2,6
10282,2007,4,0
10282,2008,4,0
10282,2009,4,0
10282,2010,4,2
10282,2011,4,2
10282,2012,3,2
10282,2013,1,2
10282,2014,2,2
10282,2015,1,0
10301,2005,0,119
10301,2006,0,122
10301,2007,1,178
10301,2008,2,196
10301,2009,2,200
10301,2010,2,217
10301,2011,2,213
10301,2012,3,157
10301,2013,3,100
10301,2014,3,103
10301,2015,3,107
10302,2005,0,2
10302,2006,0,2
10302,2007,1,2
10302,2008,1,2
10302,2009,1,2
10302,2010,1,2
10302,2011,1,2
10302,2012,1,0
10302,2013,1,0
10302,2014,2,0
10302,2015,2,0
10303,2008,1,0
10303,2009,1,0
10303,2010,1,0
10303,2011,1,0
10303,2012,1,0
10303,2013,1,0
10303,2014,2,0
10303,2015,1,2
10304,2006,0,2
10304,2007,0,4
10304,2008,0,2
10304,2009,0,2
10304,2010,0,2
10304,2011,0,4
10304,2012,0,9
10304,2013,0,6
10304,2014,0,11
10304,2015,0,4
10305,2005,1,21
10305,2006,1,28
10305,2007,1,36
10305,2008,1,34
10305,2009,2,29
10305,2010,3,24
10305,2011,3,25
10305,2012,3,25
10305,2013,3,25
10305,2014,3,33
10305,2015,3,27
10306,2005,0,50
10306,2006,0,90
10306,2007,1,87
10306,2008,2,20
10306,2009,2,22
10306,2010,2,29
10306,2011,3,14
10306,2012,3,8
10306,2013,2,34
10306,2014,2,34
10306,2015,2,36
10307,2005,3,4
10307,2006,3,4
10307,2007,2,4
10307,2008,2,8
10307,2009,2,4
10307,2010,1,4
10307,2011,1,4
10307,2012,1,2
10307,2013,1,2
10307,2014,2,2
10307,2015,2,2
10308,2010,0,2
10308,2012,0,2
10308,2013,1,2
10308,2014,1,0
10308,2015,1,4
10309,2005,2,13
10309,2006,2,15
10309,2007,2,15
10309,2008,3,19
10309,2009,3,19
10309,2010,3,24
10309,2011,3,37
10309,2012,5,27
10309,2013,3,37
10309,2014,4,34
10309,2015,4,34
10310,2005,0,19
10310,2006,0,11
10310,2007,0,4
10310,2008,0,11
10310,2009,0,4
10310,2010,0,4
10310,2011,0,4
10310,2012,0,36
10310,2013,0,4
10310,2014,0,2
10310,2015,1,2
10312,2005,0,32
10312,2006,1,30
10312,2007,2,30
10312,2008,2,24
10312,2009,2,38
10312,2010,2,37
10312,2011,2,58
10312,2012,2,33
10312,2013,2,17
10312,2014,2,17
10312,2015,3,20
10314,2005,2,21
10314,2006,2,34
10314,2007,1,30
10314,2008,1,38
10314,2009,1,21
10314,2010,2,23
10314,2011,2,23
10314,2012,3,32
10314,2013,3,70
10314,2014,2,50
10314,2015,2,56
10451,2005,0,16
10451,2006,0,87
10451,2007,1,194
10451,2008,0,194
10451,2009,0,22
10451,2010,1,24
10451,2011,0,24
10451,2012,1,11
10451,2013,0,26
10451,2014,0,46
10451,2015,1,24
10452,2005,0,2
10452,2006,0,2
10452,2012,1,0
10453,2005,0,7
10453,2006,0,15
10453,2007,0,17
10453,2008,0,15
10453,2009,0,15
10453,2010,0,15
10453,2011,0,15
10453,2012,0,15
10453,2013,0,17
10453,2014,0,15
10453,2015,0,15
10454,2005,0,4
10454,2006,0,2
10454,2008,0,2
10454,2009,0,9
10454,2010,1,9
10454,2011,1,2
10454,2012,0,4
10454,2013,0,4
10454,2014,0,6
10454,2015,0,6
10455,2014,1,0
10455,2015,1,0
10456,2005,2,30
10456,2006,1,30
10456,2007,1,30
10456,2008,1,32
10456,2009,1,172
10456,2010,1,32
10456,2011,0,32
10456,2012,1,30
10456,2013,0,30
10456,2014,0,30
10456,2015,0,30
10457,2009,0,2
10457,2010,1,0
10458,2005,0,17
10458,2006,2,17
10458,2007,0,17
10458,2008,0,22
10458,2009,0,24
10458,2010,0,19
10458,2011,0,17
10458,2012,0,15
10458,2013,0,15
10458,2014,0,15
10458,2015,0,37
10459,2005,0,4
10459,2006,0,2
10459,2007,0,2
10459,2008,0,2
10459,2009,0,2
10459,2010,0,4
10459,2011,0,9
10459,2012,0,11
10459,2013,0,6
10459,2014,0,11
10459,2015,0,6
10460,2005,0,7
10460,2006,0,17
10460,2007,0,15
10460,2008,0,15
10460,2009,0,7
10460,2010,0,7
10460,2011,0,9
10460,2012,0,9
10460,2013,0,17
10460,2014,0,9
10460,2015,0,9
10461,2005,1,32
10461,2006,2,30
10461,2007,3,30
10461,2008,3,32
10461,2009,3,32
10461,2010,3,32
10461,2011,2,32
10461,2012,2,32
10461,2013,2,36
10461,2014,2,34
10461,2015,2,17
10462,2005,1,2
10462,2006,2,2
10462,2007,1,2
10462,2008,1,0
10462,2009,1,0
10462,2010,1,0
10462,2011,1,2
10462,2012,2,11
10462,2013,1,6
10462,2014,1,6
10462,2015,2,4
10463,2005,4,10
10463,2006,2,13
