Institution,Log Number,Fiscal Year,Award,Recipient Type,Program,Program Categories,City,State,Issue Areas,The main body text
Saint Regis Mohawk Tribe,MN-00-18-0027-18,2018,"$75,000.00",museum,Native American/Native Hawaiian Museum Services,,Akwesasne,NY,,"The Akwesasne Museum will collaborate with The Wild Center to provide its staff with enhanced exhibit development skills. Through a series of training sessions, The Wild Center, in Tupper Lake, New York, will share techniques for creating in-house graphics and implementing affordable exhibit fabrication. The project will focus on the reinstallation of existing objects in the collection and the creation of new interactive areas, while crafting a more cohesive and appealing exhibition program by refreshing the look of the museum on a regular basis area in order to attract repeat visitation. The Akwesasne Tourism Working Group will assist the governing and advisory bodies of the Akwesasne Museum with tracking and evaluating project progress."
Saint Regis Mohawk Tribe,MN-00-16-0027-16,2016,"$45,626.00",Museum,Native American/Native Hawaiian Museum Services,,Akwesasne,NY,,"The Saint Regis Mohawk Tribe will use grant funds to re-think the Akwesasne Cultural Center's organizational structure and redesign its space to better serve the community's needs. A facilitator with expertise in history, organizational theory, and architecture will be engaged to coordinate board/staff discussions and community dialogue, and to develop and administer surveys to inform the planning process. By integrating all aspects of programming in a more interactive and culturally relevant way, this project will improve the welcoming atmosphere of the cultural center, strengthen cultural activities, and increase access to the center's resources. As a result, the center will be in a better position to enact organizational change that will help increase and sustain knowledge of Mohawk history and culture in the community."
Saint Regis Mohawk Tribe,NG-05-12-0063-14,2014,"$7,000.00",Library,Native American Library Services,Basic Grants with Education/Assessment Option,Akwesasne,NY,,
Saint Regis Mohawk Tribe,MN-00-13-0040-13,2013,"$43,624.00",,Native American/Native Hawaiian Museum Services,,Akwesasne,NY,,"The St. Regis of Mohawk Tribe will use its grant to fund a short documentary film highlighting the many facets of the “fancy basket” tradition in Akwesasne. The film will feature Florence Benedict, an Akwesasne Mohawk elder and master basket maker, and will document her specialized knowledge of basketry through footage that will have future research potential. The project also includes a workshop on documentary filmmaking open to all Akwesasne Mohawk youth and adults, to provide instruction on making successful documentaries."
Saint Regis Mohawk Tribe,NG-05-12-0063-13,2013,"$7,000.00",,Native American Library Services,Basic Grants with Education/Assessment Option,Akwesasne,NY,,
St. Regis Band of Mohawk Indians,MN-01-12-0012-12,2012,"$49,890.00",,Native American/Native Hawaiian Museum Services,,Akwesasne,NY,,"The St. Regis Band of Mohawk Indians will work with an independent filmmaker to create a documentary on legendary Mohawk basket weaver Henry Arquette. The filmmaker will collaborate with the Akwesasne Cultural Center; Akwesasne Freedom School; Salmon River Central School District; and New Blankets, a volunteer technology-based organization, to mentor students on the art of documentary filmmaking. Students will participate in a four-week summer class and twenty out-of-school sessions during the 2013-14 school year. Local film studies teachers will provide student instruction, and filmmaking software will be available for student use on 12 computers at the cultural center. Students will produce individual documentaries that will be critiqued by the filmmaker, and an evaluator will measure outcomes throughout the project."
St. Regis Band of Mohawk Indians,NG-05-12-0063-12,2012,"$7,000.00",,Native American Library Services,Basic Grants with Education/Assessment Option,Akwesasne,NY,,
St. Regis Band of Mohawk Indians,NG-05-11-0098-11,2011,"$7,000.00",,Native American Library Services,Basic Grants with Education/Assessment Option,Akwesasne,NY,,
St. Regis Band of Mohawk Indians,MN-03-10-0020-10,2010,"$48,661.00",,Native American/Native Hawaiian Museum Services,,Akwesasne,NY,Community,"The St. Regis Band of Mohawk Indians will begin the formal planning process for a new museum in Akwesasne. With the guidance of a museum planner and an architectural firm, the tribe will develop a conceptual design for the new museum. Both the planner and the architectural firm will compile a report, which will outline a vision of the how the museum, library, and archive facilities can best meet the needs of staff, community members, researchers, and the visiting public. Throughout the process, the tribe will seek the thoughts and opinions of the Akwesasne Cultural Center board, Akwesasne Museum staff, the museum's advisory committee, individuals and organizations that represent and advocate for library and archive activities within Akwesasne, council leadership, and the community of Akwesasne at large."
St. Regis Band of Mohawk Indians,NG-05-10-0033-10,2010,"$7,000.00",,Native American Library Services,Basic Grants with Education/Assessment Option,Akwesasne,NY,,
St. Regis Band of Mohawk Indians,MN-02-09-0003-09,2009,"$49,343.00",,Native American/Native Hawaiian Museum Services,,Akwesasne,NY,,"The Akwesasne Museum, administered by the St. Regis Band of Mohawk Indians, will lead a group of tribal youth in a program exploring the many layers that define Tewaá:rathon (the game of lacrosse). Youth participants will interact with community members, take part in activities led by museum staff and consultants, and take a field trip to another Haudenosaunee community to gather information on the game. Museum staff and consultants will help the youth develop and write an exhibit suitable for use on site at the Akwesasne Museum and for travel to other sites. The project will increase understanding of the relationship between lacrosse and Native American culture and history."
St. Regis Band of Mohawk Indians,NG-05-09-0087-09,2009,"$6,000.00",,Native American Library Services,Basic Grants with Education/Assessment Option,Akwesasne,NY,,
St. Regis Band of Mohawk Indians,NG-05-08-0077-08,2008,"$6,000.00",,Native American Library Services,Basic Grants with Education/Assessment Option,Akwesasne,NY,,
St. Regis Band of Mohawk Indians,NG-05-07-0168-07,2007,"$6,000.00",,Native American Library Services,Basic Grants with Education/Assessment Option,Akwesasne,NY,,
Akwesasne Cultural Center,MA-01-06-0025-06,2006,"$11,255.00",,Museums for America,Sustaining Cultural Heritage,Akwesasne,NY,,
St. Regis Band of Mohawk Indians,NG-05-06-0119-06,2006,"$6,000.00",,Native American Library Services,Basic Grants with Education/Assessment Option,Akwesasne,NY,,
St. Regis Band of Mohawk Indians,MN-00-05-0027-05,2005,"$10,000.00",,Native American/Native Hawaiian Museum Services,,Akwesasne,NY,,"The Akwesasne Cultural Center, composed of the Akwesasne Library and Museum, is a community organization dedicated to the preservation of Kanienkehaka/Mohawk culture and educating community members, future generations, and the general public. Basketry is the traditional art form for which the community is best known; the museum collects and exhibits a variety of historic and contemporary pieces. In order to promote, preserve, and share the tribe's strong basket-making tradition, the Akwesasne Museum will use this grant to send 14 tribal basket makers to participate in the 2006 Smithsonian Folklife Festival. The festival will feature Carriers of Culture: Living Native Basket Traditions, a multiyear, multifaceted celebration of Native basket-making traditions of North America and Hawaii."
