Zip Code,Fiscal Year,No. of Awards,Grant Dollars,Grantor
10001,1987,2,"$2,000",Alabama
10001,1987,62,"$962,400",New York
10001,1988,54,"$580,000",New York
10001,1989,2,"$10,000",Mid Atlantic Arts Foundation
10001,1989,52,"$539,600",New York
10001,1990,48,"$540,720",New York
10001,1990,2,"$3,000",Ohio
10001,1991,64,"$537,510",New York
10001,1992,2,$880,Alabama
10001,1992,80,"$278,730",New York
10001,1993,44,"$254,428",New York
10001,1994,2,$360,New England Foundation for the Arts
10001,1994,46,"$332,492",New York
10001,1995,54,"$447,938",New York
10001,1995,2,"$50,000",Ohio
10001,1995,2,"$16,500",Washington
10001,1996,4,"$14,000",Mid Atlantic Arts Foundation
10001,1996,60,"$420,220",New York
10001,1996,2,$200,South Carolina
10001,1997,2,"$4,800",Mid Atlantic Arts Foundation
10001,1997,74,"$604,650",New York
10001,1998,2,"$16,000",Mid Atlantic Arts Foundation
10001,1998,100,"$1,171,646",New York
10001,1999,2,"$12,000",Mid Atlantic Arts Foundation
10001,1999,110,"$1,625,276",New York
10001,1999,14,"$7,800",South Dakota
10002,1987,96,"$842,590",New York
10002,1988,98,"$888,500",New York
10002,1989,2,"$10,000",Mid Atlantic Arts Foundation
10002,1989,2,"$2,200",New England Foundation for the Arts
10002,1989,144,"$1,088,618",New York
10002,1989,2,"$12,000",South Dakota
10002,1990,116,"$1,125,334",New York
10002,1991,86,"$945,104",New York
10002,1992,74,"$442,948",New York
10002,1993,58,"$487,696",New York
10002,1993,2,"$7,200",South Dakota
10002,1993,2,"$2,000",Washington
10002,1994,56,"$473,132",New York
10002,1995,66,"$616,916",New York
10002,1995,2,"$9,100",South Dakota
10002,1996,4,"$20,000",Mid Atlantic Arts Foundation
10002,1996,68,"$509,624",New York
10002,1997,58,"$475,548",New York
10002,1998,60,"$754,160",New York
10002,1999,66,"$813,324",New York
10003,1986,2,"$10,000",Vermont
10003,1987,334,"$5,739,522",New York
10003,1987,2,"$52,506",Vermont
10003,1988,4,"$10,000",Mid Atlantic Arts Foundation
10003,1988,342,"$6,059,570",New York
10003,1989,2,"$35,000",California
10003,1989,4,"$14,000",Mid Atlantic Arts Foundation
10003,1989,2,$520,New England Foundation for the Arts
10003,1989,422,"$6,342,920",New York
10003,1989,2,$434,Northern Marianas
10003,1990,352,"$6,441,068",New York
10003,1991,250,"$4,699,032",New York
10003,1991,2,"$10,000",Oklahoma
10003,1991,2,"$6,400",South Dakota
10003,1992,2,"$22,608",Maine
10003,1992,334,"$2,931,424",New York
10003,1992,2,"$6,400",South Dakota
10003,1993,2,"$12,614",Massachusetts
10003,1993,180,"$2,275,940",New York
10003,1994,4,"$12,100",Mid Atlantic Arts Foundation
10003,1994,180,"$2,682,210",New York
10003,1994,2,"$8,400",South Dakota
10003,1995,8,"$8,800",Mid Atlantic Arts Foundation
10003,1995,200,"$3,014,948",New York
10003,1996,200,"$2,663,254",New York
10003,1996,6,$600,South Carolina
10003,1996,14,"$7,800",South Dakota
10003,1996,2,"$2,566",Utah
10003,1997,258,"$2,949,730",New York
10003,1998,4,"$80,000",New England Foundation for the Arts
10003,1998,198,"$3,297,332",New York
10003,1998,14,"$7,800",South Dakota
10003,1999,2,"$8,400",Mid Atlantic Arts Foundation
10003,1999,222,"$3,980,500",New York
10004,1987,22,"$178,434",New York
10004,1988,18,"$135,520",New York
10004,1989,20,"$134,926",New York
10004,1990,10,"$43,100",New York
10004,1991,4,"$17,100",New York
10004,1992,8,"$10,156",New York
10004,1993,4,"$10,842",New York
10004,1994,4,"$9,586",New York
10004,1995,4,"$20,000",New York
10004,1996,4,"$10,616",New York
10004,1997,6,"$15,272",New York
10004,1998,4,"$37,700",New York
10004,1999,2,"$10,000",Maine
10004,1999,8,"$229,400",New York
10006,1994,2,"$2,000",New York
10006,1995,2,"$4,000",New York
10006,1996,2,"$3,860",New York
10006,1998,2,"$7,000",New York
10006,1999,4,"$12,000",New York
10007,1987,64,"$493,580",New York
10007,1988,80,"$490,076",New York
10007,1989,74,"$479,000",New York
10007,1990,56,"$472,844",New York
10007,1991,60,"$459,672",New York
10007,1992,54,"$287,868",New York
10007,1993,28,"$173,930",New York
10007,1994,26,"$182,654",New York
10007,1994,2,"$6,000",Washington
10007,1995,20,"$167,800",New York
10007,1995,2,"$24,000",Washington
10007,1996,10,"$61,530",New York
10007,1996,2,"$2,000",South Carolina
10007,1996,2,"$6,000",Washington
10007,1997,12,"$43,668",New York
10007,1998,8,"$50,000",New York
10007,1999,4,"$39,200",New York
10009,1987,80,"$591,310",New York
10009,1988,6,"$18,900",Mid Atlantic Arts Foundation
10009,1988,2,"$7,038",New England Foundation for the Arts
10009,1988,98,"$771,800",New York
10009,1989,2,$480,Mid Atlantic Arts Foundation
10009,1989,2,"$113,022",New England Foundation for the Arts
10009,1989,138,"$1,081,600",New York
10009,1990,116,"$988,720",New York
10009,1991,104,"$918,338",New York
10009,1992,140,"$689,366",New York
10009,1992,6,"$8,246",Washington
10009,1993,68,"$365,196",New York
10009,1993,4,"$4,000",Washington
10009,1994,2,"$10,000",Mid Atlantic Arts Foundation
10009,1994,2,$780,New England Foundation for the Arts
10009,1994,54,"$385,758",New York
10009,1995,2,"$4,000",Mid Atlantic Arts Foundation
10009,1995,70,"$540,874",New York
10009,1995,2,"$6,400",Washington
10009,1996,2,"$10,000",Mid Atlantic Arts Foundation
10009,1996,70,"$542,818",New York
10009,1997,68,"$555,162",New York
10009,1998,4,"$4,000",New England Foundation for the Arts
10009,1998,58,"$566,526",New York
10009,1999,62,"$590,772",New York
10010,1986,2,"$2,000",Massachusetts
10010,1986,2,"$3,000",Pennsylvania
10010,1987,4,"$25,200",Michigan
10010,1987,40,"$380,400",New York
10010,1988,26,"$252,000",New York
10010,1988,2,"$2,000",South Carolina
10010,1989,2,$170,Mid Atlantic Arts Foundation
10010,1989,46,"$446,500",New York
10010,1989,2,"$2,000",South Carolina
10010,1990,48,"$463,136",New York
10010,1991,40,"$353,198",New York
10010,1992,38,"$269,490",New York
10010,1993,38,"$196,798",New York
10010,1994,38,"$261,374",New York
10010,1995,2,"$2,500",Mid Atlantic Arts Foundation
10010,1995,38,"$397,332",New York
10010,1996,2,"$4,000",Mid Atlantic Arts Foundation
10010,1996,32,"$359,400",New York
10010,1996,2,$200,South Carolina
10010,1997,50,"$618,752",New York
10010,1998,38,"$646,830",New York
10010,1998,2,"$33,526",North Dakota
10010,1999,54,"$785,282",New York
10011,1986,2,"$4,000",New Jersey
10011,1987,146,"$1,823,460",New York
10011,1987,2,"$1,000",South Dakota
10011,1988,2,"$4,400",Mid Atlantic Arts Foundation
10011,1988,158,"$2,088,468",New York
10011,1989,2,$300,New England Foundation for the Arts
10011,1989,178,"$2,085,088",New York
10011,1990,212,"$2,508,924",New York
10011,1991,176,"$2,154,278",New York
10011,1991,4,"$9,600",Washington
10011,1992,230,"$1,409,580",New York
10011,1992,2,$900,South Dakota
10011,1993,140,"$1,297,336",New York
10011,1993,2,"$1,000",South Dakota
10011,1994,4,"$10,400",Mid Atlantic Arts Foundation
10011,1994,138,"$1,368,032",New York
10011,1995,160,"$1,541,256",New York
10011,1995,4,"$6,600",Washington
10011,1996,14,"$56,260",Mid Atlantic Arts Foundation
10011,1996,2,"$10,000",New England Foundation for the Arts
10011,1996,152,"$1,366,546",New York
10011,1996,2,"$2,500",South Carolina
10011,1997,138,"$1,341,494",New York
10011,1998,6,"$29,400",Mid Atlantic Arts Foundation
10011,1998,8,"$17,544",New England Foundation for the Arts
10011,1998,100,"$1,561,412",New York
10011,1999,4,"$15,600",Mid Atlantic Arts Foundation
10011,1999,96,"$1,551,244",New York
10012,1987,302,"$3,194,156",New York
10012,1988,4,"$15,840",Mid Atlantic Arts Foundation
10012,1988,342,"$4,395,414",New York
10012,1988,4,$74,Utah
10012,1988,2,"$33,600",Washington
10012,1989,2,"$30,000",Maine
10012,1989,2,"$10,000",Mid Atlantic Arts Foundation
10012,1989,8,"$3,480",New England Foundation for the Arts
10012,1989,2,"$103,158",New Jersey
10012,1989,430,"$4,864,300",New York
10012,1989,6,$128,Utah
10012,1989,2,"$230,000",Washington
10012,1990,416,"$5,482,246",New York
10012,1991,2,"$20,000",California
10012,1991,334,"$4,995,988",New York
10012,1991,6,"$54,754",North Carolina
10012,1991,2,"$14,154",Ohio
10012,1991,2,$740,Rhode Island
10012,1991,20,"$15,720",Washington
10012,1992,368,"$3,025,764",New York
10012,1992,6,$124,Utah
10012,1993,204,"$2,062,592",New York
10012,1994,8,"$20,800",Mid Atlantic Arts Foundation
10012,1994,216,"$2,415,410",New York
10012,1994,6,"$29,000",Washington
10012,1995,4,"$10,400",Mid Atlantic Arts Foundation
10012,1995,220,"$2,617,640",New York
10012,1996,2,"$10,000",Mid Atlantic Arts Foundation
10012,1996,2,"$6,000",New England Foundation for the Arts
10012,1996,188,"$2,062,754",New York
10012,1996,2,$200,South Carolina
10012,1996,10,"$26,726",Washington
10012,1997,258,"$2,853,532",New York
10012,1997,10,"$2,382",Washington
10012,1998,152,"$2,486,808",New York
10012,1998,2,$76,Utah
10012,1998,2,"$40,792",Washington
10012,1999,162,"$2,728,684",New York
10012,1999,2,"$49,000",Washington
10013,1986,2,"$4,000",Ohio
10013,1987,336,"$3,784,324",New York
10013,1988,4,"$14,000",Mid Atlantic Arts Foundation
10013,1988,334,"$4,024,496",New York
10013,1989,2,$144,Mid Atlantic Arts Foundation
