"zip","year","awards","dollars"
10001,1997,1,2940
10001,1998,9,261150
10001,1999,11,580000
10001,2000,14,544500
10001,2001,16,827500
10001,2002,17,777500
10001,2003,16,379125
10001,2004,16,946225
10001,2005,16,588645
10001,2006,17,760000
10001,2007,15,466500
10001,2008,24,1058000
10001,2009,31,1110316
10001,2010,27,1243000
10001,2011,23,1015000
10001,2012,26,1201000
10001,2013,21,1045000
10001,2014,26,1070000
10001,2015,26,865000
10001,2016,31,1128000
10001,2017,28,885000
10001,2018,32,1167000
10001,2019,13,435000
10002,1997,2,146628
10002,1998,6,264500
10002,1999,8,352500
10002,2000,9,238540
10002,2001,9,365500
10002,2002,15,1076000
10002,2003,12,466112
10002,2004,12,460325
10002,2005,9,334970
10002,2006,13,350475
10002,2007,9,432983
10002,2008,10,223500
10002,2009,17,495000
10002,2010,16,725500
10002,2011,17,564540
10002,2012,11,439906
10002,2013,13,430000
10002,2014,10,240000
10002,2015,13,492000
10002,2016,15,1036864
10002,2017,15,460000
10002,2018,9,230000
10002,2019,5,183000
10003,1998,23,796600
10003,1999,23,680000
10003,2000,30,632000
10003,2001,35,689190
10003,2002,31,725500
10003,2003,40,1062000
10003,2004,39,934360
10003,2005,36,898350
10003,2006,31,699000
10003,2007,27,634500
10003,2008,36,1485405
10003,2009,48,1367173
10003,2010,34,1099000
10003,2011,32,1114000
10003,2012,34,996832
10003,2013,36,1473135
10003,2014,41,1630769
10003,2015,33,1020000
10003,2016,35,1199736
10003,2017,32,862000
10003,2018,31,940500
10003,2019,17,465000
10004,1998,6,177675
10004,1999,7,240000
10004,2000,9,263000
10004,2001,8,397500
10004,2002,10,335000
10004,2003,9,330000
10004,2004,13,457000
10004,2005,9,270000
10004,2006,12,239500
10004,2007,12,295000
10004,2008,11,260000
10004,2009,17,522000
10004,2010,17,488500
10004,2011,13,450000
10004,2012,14,450000
10004,2013,14,585000
10004,2014,13,475000
10004,2015,15,475000
10004,2016,13,450000
10004,2017,13,465000
10004,2018,14,501000
10004,2019,5,175000
10005,2004,2,107890
10005,2007,1,150000
10005,2009,1,150000
10005,2012,1,20000
10005,2013,1,150000
10005,2014,1,25000
10005,2018,1,80166
10006,2002,1,20000
10006,2007,1,20000
10006,2008,1,20000
10006,2010,2,65000
10006,2011,2,80000
10006,2012,1,20000
10006,2018,2,464867
10006,2019,1,10000
10007,1998,1,20000
10007,1999,1,5000
10007,2001,2,37500
10007,2003,1,15000
10007,2004,3,65000
10007,2005,3,55000
10007,2006,1,10000
10007,2007,3,47500
10007,2008,1,10000
10007,2009,3,260000
10007,2010,2,25000
10007,2011,2,225000
10007,2012,2,110000
10007,2013,3,40000
10007,2014,3,519967
10007,2015,3,61375
10007,2016,1,25000
10007,2017,2,45000
10007,2018,2,40000
10007,2019,1,20000
10009,1998,2,50000
10009,1999,4,110000
10009,2000,5,51000
10009,2001,2,30000
10009,2002,7,83000
10009,2003,5,86000
10009,2004,6,110000
10009,2005,5,80000
10009,2006,7,120000
10009,2007,4,65000
10009,2008,4,65000
10009,2009,5,110000
10009,2010,6,140000
10009,2011,4,72500
10009,2012,4,230000
10009,2013,7,115000
10009,2014,3,50000
10009,2015,5,119000
10009,2016,7,120000
10009,2017,4,65000
10009,2018,5,90000
10010,1998,4,736300
10010,1999,2,698452
10010,2000,5,748900
10010,2001,4,753800
10010,2002,6,1132200
10010,2003,7,918100
10010,2004,5,865690
10010,2005,6,559485
10010,2006,5,179174
10010,2007,5,850200
10010,2008,8,1124715
10010,2009,7,1459300
10010,2010,9,1267600
10010,2011,6,900306
10010,2012,5,810625
10010,2013,6,753000
10010,2014,5,759366
10010,2015,4,810600
10010,2016,4,846675
10010,2017,6,896720
10010,2018,5,876000
10010,2019,4,140000
10011,1997,1,5430
10011,1998,7,249094
10011,1999,10,363591
10011,2000,8,240500
10011,2001,12,370000
10011,2002,14,743500
10011,2003,12,422000
10011,2004,13,509983
10011,2005,15,1015206
10011,2006,11,364000
10011,2007,12,316250
10011,2008,13,404000
10011,2009,22,740500
10011,2010,18,707000
10011,2011,20,954989
10011,2012,15,804467
10011,2013,13,535957
10011,2014,11,385000
10011,2015,12,407000
10011,2016,16,555756
10011,2017,15,485000
10011,2018,13,425000
10011,2019,8,215000
10012,1998,11,151600
10012,1999,14,374775
10012,2000,14,376750
10012,2001,7,232500
10012,2002,12,186890
10012,2003,20,1224584
10012,2004,14,273000
10012,2005,10,257073
10012,2006,15,327923
10012,2007,14,1056647
10012,2008,16,1133747
10012,2009,14,495000
