address_added,city_added,state_added,zip_added,Institution,Log Number,Fiscal Year,Award,Recipient Type,Program,Program Categories,City,State,Issue Areas,The main body text
36-01 35th Ave, Astoria,NY,11106,American Museum of the Moving Image,MA-10-16-0267-16,2016,"$149,585.00",Museum,Museums for America,MFA-Learning  Experiences,Astoria,NY,,"The American Museum of the Moving Image will develop a new programming initiative that offers engaging, experiential learning and cultural programming for children, ages four to 12, and their caregivers. The initiative will feature drop-in activities, gallery activities, workshops, family tours, artist-led programs and performances, screenings and response activities, large-scale day-long events, family-member only events, and exclusive family hours in the galleries. The project will create programs specifically targeted to families year round; offer more activities for families with younger children; and present programs that are appealing to a wide range of ethnic and cultural groups. The project aims to grow attendance to a sustained annual level of 250,000, triple family memberships, and grow repeat visitors by eight percent."
36-01 35th Ave, Astoria,NY,11106,American Museum of the Moving Image,MA-10-14-0186-14,2014,"$149,674.00",Museum,Museums for America,Learning  Experiences (NLG-Museums),Astoria,NY,"Collections, Community","American Museum of the Moving Image will plan, design, fabricate, develop, and install ""Jim Henson: The Exhibition,"" a long-term exhibition showcasing the work of the legendary puppeteer, performer, director, and producer. Organized into sections based on the type of film or television programming, including Sesame Street, the Muppet Show, and Saturday Night Live sketches, the exhibition will feature Henson's artifacts, sketches, storyboards, and moving image content. The museum will also develop and implement related education and public programs and conduct preliminary planning for a traveling exhibition. Through this project, audiences will have the opportunity to learn about Henson's work, cultural impact, and creative innovations."
36-01 35th Ave, Astoria,NY,11106,American Museum of the Moving Image,MA-05-12-0006-12,2012,"$149,095.00",,Museums for America,Collections Stewardship,Astoria,NY,Collections,"The American Museum of the Moving Image will move 5,500 objects, including technical apparatus, production design materials, posters, and other oversized artifacts from a rented off-site storage space to the museum's new onsite storage facility. The new facility will give collection staff direct, daily access to artifacts and thus improve collections care; enable exhibition staff to properly identify and select new pieces for the museum's core exhibition and temporary exhibitions; enable curatorial staff to efficiently conduct research on the objects and facilitate research by outside scholars; and allow the general public controlled access to collections for tours and educational opportunities."
36-01 35th Ave, Astoria,NY,11106,American Museum of the Moving Image,LG-24-10-0046-10,2010,"$750,999.00",,National Leadership Grants for Museums,Advancing Digital Resources,Astoria,NY,,"The Museum of the Moving Image, in partnership with the University of California, Berkeley Information Services and Technology Division, and the Walker Art Center, will advance CollectionSpace, an open-source collections information management software designed to answer the need for a more effective collections information and management tool. The project will allow partners to work with five diverse museum communities of practice to shape and extend CollectionSpace software to suit their diverse needs. This project will also model a new way for museums and other collecting institutions to participate in the development, use, and governance of new technologies."
36-01 35th Ave, Astoria,NY,11106,American Museum of the Moving Image,MA-01-06-0029-06,2006,"$150,000.00",,Museums for America,Sustaining Cultural Heritage,Astoria,NY,,
36-01 35th Ave, Astoria,NY,11106,American Museum of the Moving Image,MA-01-04-0586-04,2004,"$150,000.00",,Museums for America,Sustaining Cultural Heritage,Astoria,NY,,"Purpose: Sustaining Cultural Heritage  The American Museum of the Moving Image, founded in 1981, collects artifacts associated with the history of film and television. The museum maintains the nation's largest permanent collection of moving image artifacts, numbering almost 100,000 objects. The collection explores the changing ways in which moving images have been produced and exhibited. The study of the material culture of the moving image extends beyond the art of cinema and is crucial to the understanding of American culture and social history. In this project, the museum will begin to catalog, digitize, and make accessible online its collection of moving image material culture, using a significant selection of its rare silent film era collection to initiate the process. A key element of this initiative will be the advancement of work on OpenCollection, the museum's commissioned software package, which is already in use in a preliminary version. Through this project, the museum will dramatically increase its capacity for cataloging, access, and display of its materials. In addition, it will make a vital contribution to the field by developing nonproprietary software that can be used by other collections of moving image material culture around the world."
36-01 35th Ave, Astoria,NY,11106,Museum of the Moving Image,MA-10-18-0358-18,2018,"$195,402.00",Museum,Museums for America,MFA-Learning  Experiences,Astoria,NY,,"The Museum of the Moving Image will reimagine its core exhibition through a planning process that reflects its mission, addresses an evolving understanding of its subject matter, and is culturally and physically inclusive. The current exhibition, first opened in 1988, documents the technologies and crafts behind the commercial U.S. film and television industries. The project team will produce a new, fully accessible exhibition design to reflect best practices and innovations in the field; be more accessible to a broader audience; and provide greater access to the museum's permanent collection. Staff and board members will work with scholars, community liaisons, an accessibility consultant, and an exhibition designer to define a narrative scope and interpretive approach for the new exhibition, and identify associated artifacts, interactive experiences, media clips, and other elements. The preliminary design will incorporate the perspectives and needs of diverse learners to more effectively serve people with disabilities and cultural barriers."
208 Totten Ave, Bayside,NY,11359,Bayside Historical Society,IA-00-03-0134-03,2003,"$7,890.00",,Conservation Assessment Program,,Bayside,NY,,
222-05 56th Ave, Bayside,NY,11364,Queensborough Community College/RF CUNY,CM-00-09-0028-09,2009,"$33,000.00",,Congressionally-Directed Grants,,Bayside,NY,,
222-05 56th Ave, Bayside,NY,11364,Research Foundation CUNY - Queensborough Community College,LG-26-11-0301-11,2011,"$495,000.00",,National Leadership Grants for Museums,Demonstration,Bayside,NY,"Community, Community","Queensborough Community College, in collaboration with the Rubin Museum of Art, the Katonah Museum of Art, El Museo del Barrio, and the Godwin-Ternbach Museum, as well as Visual Thinking Strategies and the Literacy Assistance Center, will build and support museum–community college partnerships that dramatically improve both institutions' ability to engage and serve adult English language learners and their families. Through the collaborative implementation of “meCALTA,” these partnerships will open pathways for some of the country's newest residents to language skills, cultural capital, higher education, and workforce development, while simultaneously helping each institution expand its reach and maintain its relevance in increasingly diverse communities. This project will demonstrate, refine, evaluate, and disseminate the model program across the greater New York City metropolitan area and nationwide."
222-05 56th Ave, Bayside,NY,11364,Research Foundation of CUNY on behalf of Queensborough Community College,RE-97-18-0001-18,2018,"$35,021.00",Library,Laura Bush 21st Century Librarian Program,L21-Community Anchors Planning,Bayside,NY,,"CUNY will investigate how community college librarians have engaged with the Association of College and Research Libraries' Framework for Information Literacy for Higher Education. The mixed-method study will examine how community college librarians describe their understanding of the framework, how they describe their current use of the framework for instruction, and how they describe their confidence level in incorporating the framework into information literacy instruction. CUNY will identify continuing education needs of community college librarians as related to teaching practices and the framework."
1040 Grand Concourse, Bronx,NY,10456,Bronx Museum of the Arts,MA-20-14-0437-14,2014,"$150,000.00",Museum,Museums for America,Community Anchors,Bronx,NY,"STEM, Community, Community","The Bronx Museum of the Arts will hire an evaluator to asses and facilitate the growth of its three signature programs–Bronx Stories, Back in the Bronx and Bronx Lab–to ensure that they continue to celebrate, affirm, and advance the vibrancy of the borough and its multigenerational voices. The museum will assess training, seek community input, and apply new knowledge gained through program redesign and implementation. It will enhance outreach and communication, and analyze and share outcomes. Using an advisory group of community stakeholders, the museum will amplify its services by drawing increased audiences, expanding its role as a cultural gateway, and highlighting the Bronx as a dynamic community."
1040 Grand Concourse, Bronx,NY,10456,Bronx Museum of the Arts,MA-04-11-0071-11,2011,"$149,000.00",,Museums for America,Engaging Communities,Bronx,NY,Community,"The Bronx Museum of the Arts, founded in 1971 and the sole contemporary art museum in the Bronx, will hire two staff members to engage the community in the planning of events, recruiting them as ambassadors for the museum and increasing their participation and involvement in community programs. The newly created department will generate and promote a series of programs based on current exhibitions as well as community interests, and implement outreach and communication strategies that are appropriate to each target audience. Anticipated grant outputs over the three-year grant are 25 pilot community programs and 300 free tours and workshops for public schools in the Bronx. Additionally, the museum will position itself as a stronger and more vital catalyst for community engagement and transformation, while making a lasting investment in the community."
1040 Grand Concourse, Bronx,NY,10456,Bronx Museum of the Arts,MA-04-08-0123-08,2008,"$150,000.00",,Museums for America,Engaging Communities,Bronx,NY,,
1040 Grand Concourse, Bronx,NY,10456,Bronx Museum of the Arts,IA-00-05-0093-05,2005,"$4,430.00",,Conservation Assessment Program,,Bronx,NY,,
1040 Grand Concourse, Bronx,NY,10456,Bronx Museum of the Arts,IM-03-01-0198-01,2001,"$2,970.00",,Museum Assessment Program,Public Dimension,Bronx,NY,,
2300 Southern Blvd, Bronx,NY,10460,Bronx Zoo,MA-10-13-0428-13,2013,"$117,139.00",,Museums for America,Learning  Experiences (NLG-Museums),Bronx,NY,"STEM, Community, Early Learning","The Wildlife Conservation Society/Bronx Zoo will redesign, update, expand, and digitize its Pablo Python K-3 curriculum toolkit for early learners, teachers, and parents. The project will add interactive online components, and make the toolkit available across all digital platforms, including the zoo's website, social media, email, and YouTube. The zoo's new digital education resources will be designed to increase knowledge about animals and appreciation of nature, deepening audience engagement with science and conservation. The museum will collect baseline audience data; work with technology consultants to create, test, refine, and launch new digital products; and measure their impact and effectiveness. The resulting suite of digital learning products will include a microsite for digitized education resources, fieldtrip preparation kits, and videos and games for early learners. The project will bring new science and literacy learning resources to key audiences at five New York City wildlife parks."
2300 Southern Blvd, Bronx,NY,10460,Bronx Zoo,NO-00-01-0028-01,2001,"$418,150.00",,National Leadership Grants for Museums,Museums Online,Bronx,NY,,
