Zip Code,Fiscal Year,No. of Awards,Grant Dollars,Grantor
10001,2000,2,$400,Maryland
10001,2000,4,"$7,500",Mid Atlantic Arts Foundation
10001,2000,114,"$2,000,296",New York
10001,2000,18,"$9,750",South Dakota
10001,2001,6,"$86,000",New England Foundation for the Arts
10001,2001,134,"$2,530,934",New York
10001,2001,20,"$10,350",South Dakota
10001,2002,4,"$7,626",Mid Atlantic Arts Foundation
10001,2002,4,"$16,000",New England Foundation for the Arts
10001,2002,112,"$1,487,230",New York
10001,2002,24,"$11,300",South Dakota
10001,2003,2,"$60,000",New England Foundation for the Arts
10001,2003,2,"$10,000",New Jersey
10001,2003,100,"$1,355,484",New York
10001,2003,22,"$10,000",South Dakota
10001,2004,4,"$4,400",Mid Atlantic Arts Foundation
10001,2004,2,"$64,000",New England Foundation for the Arts
10001,2004,100,"$1,172,150",New York
10001,2004,22,"$10,000",South Dakota
10001,2005,4,"$27,000",Mid Atlantic Arts Foundation
10001,2005,2,"$5,000",New England Foundation for the Arts
10001,2005,106,"$1,366,200",New York
10001,2005,16,"$9,300",South Dakota
10001,2005,4,"$26,720",Washington
10001,2006,2,"$4,800",Mid Atlantic Arts Foundation
10001,2006,130,"$1,541,400",New York
10001,2006,22,"$8,600",South Dakota
10001,2007,2,"$42,000",New England Foundation for the Arts
10001,2007,132,"$1,808,800",New York
10001,2007,18,"$8,700",South Dakota
10001,2008,4,"$17,600",Mid Atlantic Arts Foundation
10001,2008,138,"$1,873,600",New York
10001,2008,16,"$9,600",South Dakota
10001,2009,4,"$96,000",New England Foundation for the Arts
10001,2009,98,"$1,262,000",New York
10001,2009,8,"$6,700",South Dakota
10001,2010,122,"$1,344,842",New York
10001,2011,2,"$3,200",Mid Atlantic Arts Foundation
10001,2011,122,"$1,247,724",New York
10001,2012,6,"$102,300",New England Foundation for the Arts
10001,2012,116,"$1,082,620",New York
10001,2013,2,"$3,108",Maryland
10001,2013,112,"$1,328,374",New York
10001,2014,8,"$103,000",New York
10001,2015,136,"$1,846,234",New York
10001,2016,2,"$1,000",Massachusetts
10001,2016,14,"$264,000",New England Foundation for the Arts
10001,2016,136,"$2,056,318",New York
10002,2000,62,"$777,694",New York
10002,2001,78,"$1,066,376",New York
10002,2001,2,"$14,766",Washington
10002,2002,70,"$864,550",New York
10002,2003,2,"$30,000",Mid Atlantic Arts Foundation
10002,2003,76,"$964,950",New York
10002,2004,76,"$759,910",New York
10002,2005,68,"$722,600",New York
10002,2006,2,"$7,200",Mid Atlantic Arts Foundation
10002,2006,62,"$689,600",New York
10002,2007,2,$800,Mid Atlantic Arts Foundation
10002,2007,70,"$895,820",New York
10002,2008,80,"$1,105,220",New York
10002,2009,2,"$110,000",New England Foundation for the Arts
10002,2009,64,"$1,135,080",New York
10002,2010,4,"$14,304",Kentucky
10002,2010,6,"$114,622",New England Foundation for the Arts
10002,2010,110,"$1,833,066",New York
10002,2011,98,"$1,429,502",New York
10002,2012,6,"$112,000",New England Foundation for the Arts
10002,2012,90,"$1,263,000",New York
10002,2013,2,"$40,000",Mid Atlantic Arts Foundation
10002,2013,2,"$18,000",New England Foundation for the Arts
10002,2013,78,"$1,666,610",New York
10002,2014,18,"$265,400",New York
10002,2015,80,"$1,529,740",New York
10002,2016,2,"$3,500",Mid Atlantic Arts Foundation
10002,2016,4,"$104,000",New England Foundation for the Arts
10002,2016,84,"$1,640,340",New York
10003,2000,4,"$23,300",New England Foundation for the Arts
10003,2000,182,"$3,913,698",New York
10003,2001,2,"$2,400",Mid Atlantic Arts Foundation
10003,2001,22,"$455,560",New England Foundation for the Arts
10003,2001,186,"$4,273,592",New York
10003,2002,12,"$293,000",New England Foundation for the Arts
10003,2002,194,"$3,820,440",New York
10003,2003,10,"$164,200",New England Foundation for the Arts
10003,2003,208,"$3,981,460",New York
10003,2004,4,"$64,500",New England Foundation for the Arts
10003,2004,182,"$3,244,194",New York
10003,2004,2,"$1,000",Puerto Rico
10003,2005,2,"$32,590",Mid Atlantic Arts Foundation
10003,2005,16,"$285,000",New England Foundation for the Arts
10003,2005,190,"$3,111,324",New York
10003,2005,2,"$5,020",Washington
10003,2006,12,"$77,000",Mid Atlantic Arts Foundation
10003,2006,12,"$187,000",New England Foundation for the Arts
10003,2006,170,"$2,750,900",New York
10003,2006,2,"$13,452",Washington
10003,2007,14,"$21,340",Mid Atlantic Arts Foundation
10003,2007,16,"$212,880",New England Foundation for the Arts
10003,2007,170,"$2,835,430",New York
10003,2007,2,"$2,000",Utah
10003,2007,2,"$262,802",Washington
10003,2008,6,"$19,348",Mid Atlantic Arts Foundation
10003,2008,4,"$70,000",New England Foundation for the Arts
10003,2008,210,"$3,571,440",New York
10003,2008,2,"$208,000",Washington
10003,2009,12,"$268,000",New England Foundation for the Arts
10003,2009,118,"$2,198,000",New York
10003,2010,4,"$14,000",Mid Atlantic Arts Foundation
10003,2010,10,"$214,134",New England Foundation for the Arts
10003,2010,168,"$2,906,702",New York
10003,2011,4,"$76,560",Mid Atlantic Arts Foundation
10003,2011,8,"$147,000",New England Foundation for the Arts
10003,2011,156,"$2,517,376",New York
10003,2012,4,"$46,248",Mid Atlantic Arts Foundation
10003,2012,20,"$409,026",New England Foundation for the Arts
10003,2012,170,"$2,374,212",New York
10003,2012,2,"$2,800",Ohio
10003,2013,2,$240,Mid Atlantic Arts Foundation
10003,2013,22,"$421,012",New England Foundation for the Arts
10003,2013,144,"$2,334,964",New York
10003,2014,12,"$207,000",New England Foundation for the Arts
10003,2014,14,"$150,800",New York
10003,2015,20,"$308,400",New England Foundation for the Arts
10003,2015,154,"$2,623,364",New York
10003,2016,10,"$228,638",New England Foundation for the Arts
10003,2016,166,"$2,756,044",New York
10004,2000,20,"$411,500",New York
10004,2001,10,"$145,800",New York
10004,2002,20,"$208,700",New York
10004,2003,14,"$205,500",New York
10004,2004,10,"$167,400",New York
10004,2005,10,"$73,600",New York
10004,2006,6,"$210,600",New York
10004,2007,18,"$2,552,116",New York
10004,2008,24,"$507,000",New York
10004,2009,24,"$704,610",New York
10004,2010,26,"$872,088",New York
10004,2011,22,"$690,916",New York
10004,2012,30,"$575,446",New York
10004,2013,2,"$44,000",New England Foundation for the Arts
10004,2013,2,"$156,732",New Jersey
10004,2013,34,"$916,498",New York
10004,2014,2,"$22,250",New York
10004,2015,4,"$108,000",New England Foundation for the Arts
10004,2015,54,"$1,279,942",New York
10004,2016,66,"$1,448,452",New York
10004,2016,2,"$9,376",Pennsylvania
10005,2004,18,"$785,370",New York
10005,2005,20,"$824,800",New York
10005,2007,2,"$26,000",New York
10005,2008,4,"$48,600",New York
10005,2009,6,"$53,000",New York
10005,2010,6,"$64,000",New York
10005,2011,4,"$89,406",New York
10005,2012,8,"$96,000",New York
10005,2013,4,"$46,000",New York
10005,2015,4,"$18,200",New York
10006,2000,2,"$12,000",New York
10006,2001,2,"$10,000",New York
10006,2002,2,"$9,000",New York
10006,2003,2,"$9,000",New York
10006,2004,2,"$9,000",New York
10006,2005,2,"$8,800",New York
10006,2007,6,"$136,228",New York
10006,2008,4,"$55,000",New York
10006,2009,2,"$39,200",New York
10006,2010,4,"$52,888",New York
10006,2016,2,"$20,000",New York
10007,2000,2,"$33,000",New York
10007,2002,2,"$4,000",New York
10007,2004,2,"$14,000",Mid Atlantic Arts Foundation
10007,2004,4,"$40,000",New York
10007,2006,2,"$5,000",New York
10007,2007,2,"$8,100",Mid Atlantic Arts Foundation
10007,2007,16,"$146,900",New York
10007,2008,18,"$134,400",New York
10007,2009,14,"$96,400",New York
10007,2010,16,"$131,332",New York
10007,2011,12,"$84,460",New York
10007,2012,12,"$82,880",New York
10007,2013,16,"$103,360",New York
10007,2015,6,"$57,800",New York
10007,2016,12,"$209,000",New York
10009,2000,2,"$3,000",Mid Atlantic Arts Foundation
10009,2000,4,"$78,000",New England Foundation for the Arts
10009,2000,66,"$695,600",New York
10009,2001,6,"$31,500",New England Foundation for the Arts
10009,2001,58,"$646,904",New York
10009,2002,2,"$4,000",New England Foundation for the Arts
10009,2002,68,"$695,250",New York
10009,2003,2,"$69,570",New England Foundation for the Arts
10009,2003,54,"$559,350",New York
10009,2004,4,"$79,200",New England Foundation for the Arts
10009,2004,40,"$508,890",New York
10009,2005,54,"$496,000",New York
10009,2006,4,"$64,000",New England Foundation for the Arts
10009,2006,54,"$551,200",New York
10009,2007,40,"$426,330",New York
10009,2008,2,"$24,000",New England Foundation for the Arts
10009,2008,42,"$490,800",New York
10009,2009,2,"$22,400",New England Foundation for the Arts
10009,2009,26,"$399,600",New York
10009,2010,34,"$465,732",New York
10009,2011,26,"$305,794",New York
10009,2012,2,"$14,092",Mid Atlantic Arts Foundation
