Organization Name,Popular Name,Discipline / Field,Category,Application Number,City,State,Zip,Project Description,Fiscal Year,Congressional District,Grant Amount,Grant From Date,Grant To Date
"McCrae, Shane",,Literature,Literature Fellowships: Creative Writing,13-5211-7017,New York,NY,10025,,2013,0,"$25,000 ",1/1/2013,12/31/2014
"Phillips, Patrick",,Literature,Literature Fellowships: Creative Writing,09-5211-7041,Brooklyn,NY,11205,,2009,0,"$25,000 ",9/1/2009,8/31/2010
Beverly Willis Architecture Foundation,aka BWAF,Design,Art Works,12-4200-7028,New York,NY,10001-1101,"To support the expansion of the online digital archive, Women of 20th Century American Architecture. The expansion will involve a jury to select and research the work of significant women architects and designers who helped shape the built environment in the United States prior to 1970.",2012,10,"$35,000 ",6/1/2012,9/30/2014
"Printed Matter, Inc.",,Visual Arts,Access to Artistic Excellence,08-4100-7033,New York,NY,10001-1206,To support the publication and promotion of artists' books and a series of artists' pamphlets. The project includes the publication of books by women artists and the launch of a pamphlet series devoted to art and social activism.,2008,10,"$10,000 ",1/1/2008,12/31/2008
"Printed Matter, Inc.",,Visual Arts,Access to Artistic Excellence,06-4100-7047,New York,NY,10001-1206,"To support continued maintenance and development of the bibliographic and educational resources on the organization's Web site. In addition to the commission of new essays examining concerns in the field of artists' publications, enhancements will be made to the Web site to facilitate navigation.",2006,10,"$20,000 ",1/1/2006,6/30/2007
"Printed Matter, Inc.",,Visual Arts,Creativity / Presentation,03-4100-5021,New York,NY,10001-1206,"To support continued development of a Web-based catalogue raisonne documenting the history of artists' books. While Printed Matter has been compiling a resource since its inception in 1976, new technologies have presented opportunities to expand the audience for the genre.",2003,10,"$20,000 ",7/1/2002,6/30/2003
"Printed Matter, Inc.",,Visual Arts,Access to Artistic Excellence,09-4100-7036,New York,NY,10001-1206,"To support continued maintenance and development of the bibliographic and educational resources on the organization's Web site. Known as the Research Room, the online archive of artists' publications contains a comprehensive history of publications by artists.",2009,10,"$25,000 ",1/1/2009,12/31/2009
"Printed Matter, Inc.",,Visual Arts,Art Works,1808138-41-18,New York,NY,10001-1206,"To support a series of exhibitions and related events exploring the work of contemporary artists through the creation of artists' books. A series of six exhibitions will be offered which will investigate artists' books and artists' publishing practices from two distinct perspectives: the historic and the contemporary. artist talks and panel discussions will be offered to delve deeper into exhibition subject matter and encourage conversation among artists, experts, and the public. Each exhibition will be accompanied by an artist's talk or panel discussion to further engage the public in a dialogue about artists' publishing practices. All exhibitions and events will take place in Printed Matter's new, expanded facility, featuring a dedicated gallery space, exhibition wall and programming area, and will be free and open to the public.",2018,10,"$30,000 ",6/1/2018,6/30/2019
"Printed Matter, Inc.",,Visual Arts,Access to Artistic Excellence,11-4100-7099,New York,NY,10001-1206,"To support continued maintenance and expansion of the bibliographic and educational resources on the organization's Web site. Known as the Research Room, the online archive of artists' publications contains a comprehensive history of publications by artists.",2011,10,"$30,000 ",7/1/2011,6/30/2012
"Printed Matter, Inc.",,Visual Arts,Organizational Capacity / Stabilization,04-4100-9008,New York,NY,10001-1206,"To support continued development of a Web-based catalogue raisonne documenting the history of artists' books. Printed Matter has been compiling a resource since its inception in 1976, and new technologies have presented opportunities to expand the audience for the genre.",2004,10,"$30,000 ",7/1/2003,6/30/2004
"Printed Matter, Inc.",,Visual Arts,Creativity / Presentation,00-4100-5036,New York,NY,10001-1206,"To support development of a curated index of artists books available on-line on Printed Matter's newly designed Web site. A curator will select works by approximately 2,000 artists from Printed Matter's extensive inventory of over 7,500 titles by more than 4,000 artists.",2000,10,"$30,000 ",12/1/1999,11/30/2000
"Printed Matter, Inc.",,Visual Arts,Art Works,12-4100-7094,New York,NY,10001-1206,"To support the ongoing expansion of The Research Room, an online archive of artists' publications. The Research Room is a bibliographic and educational resource containing a comprehensive history of publications by visual artists and independent publishers; it provides access to 20,000 titles by more than 6,000 artists.",2012,10,"$32,000 ",7/1/2012,6/30/2013
"Printed Matter, Inc.",,Visual Arts,Art Works,16-4100-7148,New York,NY,10001-1206,"To support the expansion of the website printedmatter.org. The site will become an educational and professional development resource for artists, students, curators, scholars, and web visitors nationwide by building on its catalogue of 40,000 bibliographic entries on artists' books. The expansion will include the addition of online exhibitions and new commissioned texts by experts in the field; ""The Bulletin,"" a new dedicated section for professional development and other resources for artist publishers; and new capabilities to house digital artist publications for download.",2016,10,"$35,000 ",6/1/2016,11/30/2017
Broadway Dance Lab,,Dance,Art Works,1809013-33-18,New York,NY,10001-1512,"To support a choreography lab that offers dance artists free rehearsal space and dancers to assist with the creation process. As many as five selected choreographers, at various stages of their careers, are given 20 hours of rehearsal space in New York City complete with professional dancers. At the end of the choreographic lab, choreographers will present work-in-progress presentations to collect audience feedback.",2018,10,"$10,000 ",7/1/2018,12/31/2018
"E. Monte Motion, Inc.",aka Elisa Monte Dance,Dance,Art Works,14-3300-7130,New York,NY,10001-1809,"To support the Elisa Monte Dance: Next Stop tour. Plans include residencies in North Dakota and Florida. At each location, the company will perform for the public, as well as work with local communities to bring dance experiences into their lives.",2014,10,"$10,000 ",9/1/2014,5/31/2015
"E. Monte Motion, Inc.",aka Elisa Monte Dance,Dance,Access to Artistic Excellence,11-3300-7032,New York,NY,10001-1809,"To support the revival and presentation of dance works during the company's 30th anniversary. Works choreographed by artistic director Elisa Monte will be performed from each of the company's three decades, such as White Dragon (1985), Volkmann Suite (1996), and Light Lies (2002).",2011,10,"$10,000 ",1/1/2011,12/31/2011
"E. Monte Motion, Inc.",aka Elisa Monte Dance,Dance,Access to Artistic Excellence,08-3300-7153,New York,NY,10001-1809,"To support the revival of Feu Follet and Audentity, choreographed by Artistic Director Elisa Monte. The works will be presented on tour across the United States and overseas.",2008,10,"$10,000 ",6/1/2008,12/31/2009
"E. Monte Motion, Inc.",aka Elisa Monte Dance,Dance,Access,02-3300-4139,New York,NY,10001-1809,"To support Celebrate Harlem ARTS, a series of performances and discussions. The project will incorporate performances of a new African Caribbean-based work created by choreographers Monte and Brown, as well as performances by Harlem community artists and groups.",2002,10,"$10,000 ",7/1/2002,12/31/2002
"E. Monte Motion, Inc.",aka Elisa Monte Dance,Dance,Creativity / Presentation,01-3300-5065,New York,NY,10001-1809,"To support Monte/Brown's 20th anniversary at the Joyce Theater in New York. The project will feature the creation and presentation of a major new collaborative work as well as several revivals, creating a retrospective look at the artistic directors' creative development.",2001,10,"$5,000 ",3/1/2001,6/30/2001
