"zip","year","awards","dollars"
10001,1987,64,964400
10001,1988,54,580000
10001,1989,54,549600
10001,1990,50,543720
10001,1991,64,537510
10001,1992,82,279610
10001,1993,44,254428
10001,1994,48,332852
10001,1995,58,514438
10001,1996,66,434420
10001,1997,76,609450
10001,1998,102,1187646
10001,1999,126,1645076
10001,2000,138,2017946
10001,2001,160,2627284
10001,2002,144,1522156
10001,2003,126,1435484
10001,2004,128,1250550
10001,2005,132,1434220
10001,2006,154,1554800
10001,2007,152,1859500
10001,2008,158,1900800
10001,2009,110,1364700
10001,2010,122,1344842
10001,2011,124,1250924
10001,2012,122,1184920
10001,2013,114,1331482
10001,2014,8,103000
10001,2015,136,1846234
10001,2016,152,2321318
10002,1987,96,842590
10002,1988,98,888500
10002,1989,150,1112818
10002,1990,116,1125334
10002,1991,86,945104
10002,1992,74,442948
10002,1993,62,496896
10002,1994,56,473132
10002,1995,68,626016
10002,1996,72,529624
10002,1997,58,475548
10002,1998,60,754160
10002,1999,66,813324
10002,2000,62,777694
10002,2001,80,1081142
10002,2002,70,864550
10002,2003,78,994950
10002,2004,76,759910
10002,2005,68,722600
10002,2006,64,696800
10002,2007,72,896620
10002,2008,80,1105220
10002,2009,66,1245080
10002,2010,120,1961992
10002,2011,98,1429502
10002,2012,96,1375000
10002,2013,82,1724610
10002,2014,18,265400
10002,2015,80,1529740
10002,2016,90,1747840
10003,1986,2,10000
10003,1987,336,5792028
10003,1988,346,6069570
10003,1989,432,6392874
10003,1990,352,6441068
10003,1991,254,4715432
10003,1992,338,2960432
10003,1993,182,2288554
10003,1994,186,2702710
10003,1995,208,3023748
10003,1996,222,2674220
10003,1997,258,2949730
10003,1998,216,3385132
10003,1999,224,3988900
10003,2000,186,3936998
10003,2001,210,4731552
10003,2002,206,4113440
10003,2003,218,4145660
10003,2004,188,3309694
10003,2005,210,3433934
10003,2006,196,3028352
10003,2007,204,3334452
10003,2008,222,3868788
10003,2009,130,2466000
10003,2010,182,3134836
10003,2011,168,2740936
10003,2012,196,2832286
10003,2013,168,2756216
10003,2014,26,357800
10003,2015,174,2931764
10003,2016,176,2984682
10004,1987,22,178434
10004,1988,18,135520
10004,1989,20,134926
10004,1990,10,43100
10004,1991,4,17100
10004,1992,8,10156
10004,1993,4,10842
10004,1994,4,9586
10004,1995,4,20000
10004,1996,4,10616
10004,1997,6,15272
10004,1998,4,37700
10004,1999,10,239400
10004,2000,20,411500
10004,2001,10,145800
10004,2002,20,208700
10004,2003,14,205500
10004,2004,10,167400
10004,2005,10,73600
10004,2006,6,210600
10004,2007,18,2552116
10004,2008,24,507000
10004,2009,24,704610
10004,2010,26,872088
10004,2011,22,690916
10004,2012,30,575446
10004,2013,38,1117230
10004,2014,2,22250
10004,2015,58,1387942
10004,2016,68,1457828
10005,2004,18,785370
10005,2005,20,824800
10005,2007,2,26000
10005,2008,4,48600
10005,2009,6,53000
10005,2010,6,64000
10005,2011,4,89406
10005,2012,8,96000
10005,2013,4,46000
10005,2015,4,18200
10006,1994,2,2000
10006,1995,2,4000
10006,1996,2,3860
10006,1998,2,7000
10006,1999,4,12000
10006,2000,2,12000
10006,2001,2,10000
10006,2002,2,9000
10006,2003,2,9000
10006,2004,2,9000
10006,2005,2,8800
10006,2007,6,136228
10006,2008,4,55000
10006,2009,2,39200
10006,2010,4,52888
10006,2016,2,20000
10007,1987,64,493580
10007,1988,80,490076
10007,1989,74,479000
10007,1990,56,472844
10007,1991,60,459672
10007,1992,54,287868
10007,1993,28,173930
10007,1994,28,188654
10007,1995,22,191800
10007,1996,14,69530
10007,1997,12,43668
10007,1998,8,50000
10007,1999,4,39200
10007,2000,2,33000
10007,2002,2,4000
10007,2004,6,54000
10007,2006,2,5000
10007,2007,18,155000
10007,2008,18,134400
10007,2009,14,96400
10007,2010,16,131332
10007,2011,12,84460
10007,2012,12,82880
