"zip","year","independent_artists","art_firms","arts_organizations","total_revenue","total_compensation","total_expenses","contributed_revenue","federal_awards","federal_dollars","state_awards","state_dollars"
10001,2005,76,1628,66,46404523,11658643,45108833,15161366,0,0,0,0
10001,2006,69,2230,80,72792827,17052649,58523431,34160178,0,0,0,0
10001,2007,86,3149,76,60939248,17980398,59717146,23900138,0,0,0,0
10001,2008,86,2477,76,63848906,17697496,61214433,21295063,0,0,0,0
10001,2009,85,2058,72,61825631,18219273,60227086,28489880,0,0,0,0
10001,2010,83,1864,80,77172932,21690244,72280967,35288370,0,0,0,0
10001,2011,88,1786,80,84338941,21140475,67121519,42126527,0,0,0,0
10001,2012,77,2212,80,85439015,23023122,66529482,42476385,0,0,0,0
10001,2013,80,2020,82,78098117,25193292,77279482,31739129,0,0,0,0
10001,2014,93,2786,82,81694779,27090116,85633718,31809781,0,0,0,0
10001,2015,97,3493,80,85823507,26060052,83262006,34417755,0,0,0,0
10002,2005,14,132,21,8288615,2661885,6637642,5152977,9,334970,68,722600
10002,2006,16,138,21,7204003,2925080,7213453,3565424,13,350475,64,696800
10002,2007,13,341,21,28289039,5623282,13201611,22057899,9,432983,72,896620
10002,2008,17,318,26,42122780,10395091,28842044,30566066,10,223500,80,1105220
10002,2009,19,214,23,30247369,10748321,27549187,19920143,17,495000,66,1245080
10002,2010,20,318,23,26707431,9667059,25568162,17108245,16,725500,120,1961992
10002,2011,24,343,25,28762340,10773235,27487697,18613151,17,564540,98,1429502
10002,2012,20,595,27,33340879,13231432,32529655,21706013,11,439906,96,1375000
10002,2013,23,474,28,30727624,13751098,33566418,18962800,13,430000,82,1724610
10002,2014,27,487,29,44317105,14467896,35087625,29782452,10,240000,18,265400
10002,2015,34,444,30,32500667,16068631,38682889,19272884,13,492000,80,1529740
10003,2005,126,3185,98,113787574,36272398,112775583,55552571,36,898350,210,3433934
10003,2006,135,2741,102,81864084,26837894,73724319,43158813,31,699000,196,3028352
10003,2007,185,2932,106,116150318,38753328,109799769,57302745,27,634500,204,3334452
10003,2008,203,2759,113,112660650,42602152,116233264,56209894,36,1485405,222,3868788
10003,2009,198,2599,107,103176701,38927482,102529041,59632143,48,1367173,130,2466000
10003,2010,215,2706,113,107721610,40357340,106309435,55334370,34,1099000,182,3134836
10003,2011,219,2459,123,112872895,39779424,110597872,56668528,32,1114000,168,2740936
10003,2012,250,2849,116,122849568,45423635,115635782,64692138,34,996832,196,2832286
10003,2013,271,2765,119,134377620,49127900,125507851,65734003,36,1473135,168,2756216
10003,2014,294,3135,129,148257848,50337191,134472202,80181861,41,1630769,26,357800
10003,2015,314,3330,122,154003084,54662887,139120572,87175672,33,1020000,174,2931764
10004,2005,2,220,4,1072995,382673,1117596,751317,9,270000,10,73600
10004,2006,4,224,5,5233182,1527828,3535980,4221167,12,239500,6,210600
10004,2007,8,77,12,17433587,4108301,11554187,10103125,12,295000,18,2552116
10004,2008,7,67,11,9926894,4135453,10750400,2608063,11,260000,24,507000
10004,2009,8,32,11,10902780,3024365,10300872,4033226,17,522000,24,704610
10004,2010,7,40,9,30735981,16825407,39009916,15346346,17,488500,26,872088
10004,2011,6,64,11,35165943,17297532,39001968,18810994,13,450000,22,690916
10004,2012,9,459,13,10600614,3157258,11131841,3089504,14,450000,30,575446
10004,2013,12,446,14,8666241,3140330,10212710,1950935,14,585000,38,1117230
10004,2014,10,113,18,17174976,5771630,17389509,5078235,13,475000,2,22250
10004,2015,8,132,19,19802029,6073647,16876457,6132813,15,475000,58,1387942
10005,2005,5,52,5,2349957,794961,2179363,1787666,0,0,22,850600
10005,2006,5,60,5,1568626,476866,1185195,1267998,0,0,2,25800
10005,2007,5,68,5,2033446,551535,1554062,1478934,1,150000,2,26000
10005,2008,4,57,9,10170537,1304703,5118986,7431169,1,10000,4,48600
10005,2009,5,76,10,5592009,1024381,7013349,3851154,2,160000,6,53000
10005,2010,6,84,14,7694798,1591850,9453493,5902371,1,25000,8,76834
10005,2011,5,265,10,6504442,1089900,8103953,5098249,1,25000,6,102658
10005,2012,8,305,10,9356445,1577927,9240694,7201495,1,20000,8,96000
10005,2013,6,287,11,10619282,1752572,10981628,8169870,1,150000,4,46000
10005,2014,7,280,10,9715392,1786401,11655383,7528985,1,25000,0,0
10005,2015,7,440,9,17988510,1459206,17488737,15863036,1,10000,6,38200
10006,2005,1,17,4,347892,124352,602540,312701,0,0,2,8800
10006,2006,2,71,4,358118,130159,762148,314390,0,0,0,0
10006,2007,3,85,2,331918,129159,658896,275090,1,20000,6,136228
10006,2008,2,132,2,10507002,3542782,7058561,10422259,1,20000,4,55000
10006,2009,2,126,4,8123195,5800465,10640828,7927912,0,0,2,39200
10006,2010,2,134,3,663536,0,1168688,325109,2,65000,4,52888
10006,2011,2,117,4,600767,20941,1271891,275109,2,80000,0,0
10006,2012,2,189,4,2737927,995043,3187036,1403035,1,20000,0,0
10006,2013,5,211,2,1325651,559620,1327192,1111522,0,0,0,0
10006,2014,6,52,1,10324275,7344568,11486452,10169976,0,0,0,0
10006,2015,7,45,1,17046930,7900625,12461149,16882164,0,0,0,0
10007,2005,8,59,19,5311977,1096128,4704717,1629012,4,95000,0,0
10007,2006,7,72,19,8384536,2402222,8238602,3347244,1,10000,2,5000
10007,2007,7,85,19,11608828,2367107,9879450,4473227,4,69500,18,155000
10007,2008,5,120,19,8558452,2780416,8906972,2656355,1,10000,18,134400
10007,2009,5,122,16,5854780,2182887,8263155,1445015,3,260000,14,96400
10007,2010,4,129,14,6682768,2326167,7696722,1739754,2,25000,16,131332
10007,2011,4,719,18,6711370,2281617,8270212,1815572,3,290000,12,84460
10007,2012,7,381,16,8164643,2329556,7131526,1275624,4,235000,12,82880
10007,2013,7,383,14,3835436,1391980,3994613,801281,3,40000,16,103360
10007,2014,7,311,15,4774371,1626876,4885771,1119623,3,519967,0,0
10007,2015,8,395,16,5800007,1534050,5471999,2072195,4,91375,6,57800
10009,2005,24,125,25,4746828,1322087,4711040,2972369,5,80000,54,496000
10009,2006,30,109,28,5193565,1248186,5136648,2829578,7,120000,58,615200
10009,2007,31,81,23,4849844,1039901,5054537,2676739,4,65000,40,426330
