"zip","year","federal_awards","federal_dollars","state_awards","state_dollars"
10001,2005,16,588645,132,1434220
10001,2006,17,760000,154,1554800
10001,2007,15,466500,152,1859500
10001,2008,24,1058000,158,1900800
10001,2009,31,1110316,110,1364700
10001,2010,27,1243000,122,1344842
10001,2011,23,1015000,124,1250924
10001,2012,26,1201000,122,1184920
10001,2013,21,1045000,114,1331482
10001,2014,26,1070000,8,103000
10001,2015,26,865000,136,1846234
10002,2005,9,334970,68,722600
10002,2006,13,350475,64,696800
10002,2007,9,432983,72,896620
10002,2008,10,223500,80,1105220
10002,2009,17,495000,66,1245080
10002,2010,16,725500,120,1961992
10002,2011,17,564540,98,1429502
10002,2012,11,439906,96,1375000
10002,2013,13,430000,82,1724610
10002,2014,10,240000,18,265400
10002,2015,13,492000,80,1529740
10003,2005,36,898350,210,3433934
10003,2006,31,699000,196,3028352
10003,2007,27,634500,204,3334452
10003,2008,36,1485405,222,3868788
10003,2009,48,1367173,130,2466000
10003,2010,34,1099000,182,3134836
10003,2011,32,1114000,168,2740936
10003,2012,34,996832,196,2832286
10003,2013,36,1473135,168,2756216
10003,2014,41,1630769,26,357800
10003,2015,33,1020000,174,2931764
10004,2005,9,270000,10,73600
10004,2006,12,239500,6,210600
10004,2007,12,295000,18,2552116
10004,2008,11,260000,24,507000
10004,2009,17,522000,24,704610
10004,2010,17,488500,26,872088
10004,2011,13,450000,22,690916
10004,2012,14,450000,30,575446
10004,2013,14,585000,38,1117230
10004,2014,13,475000,2,22250
10004,2015,15,475000,58,1387942
10005,2005,0,0,20,824800
10005,2007,1,150000,2,26000
10005,2008,0,0,4,48600
10005,2009,1,150000,6,53000
10005,2010,0,0,6,64000
10005,2011,0,0,4,89406
10005,2012,1,20000,8,96000
10005,2013,1,150000,4,46000
10005,2014,1,25000,0,0
10005,2015,0,0,4,18200
10006,2005,0,0,2,8800
10006,2007,1,20000,6,136228
10006,2008,1,20000,4,55000
10006,2009,0,0,2,39200
10006,2010,2,65000,4,52888
10006,2011,2,80000,0,0
10006,2012,1,20000,0,0
10007,2005,3,55000,0,0
10007,2006,1,10000,2,5000
10007,2007,3,47500,18,155000
10007,2008,1,10000,18,134400
10007,2009,3,260000,14,96400
10007,2010,2,25000,16,131332
10007,2011,2,225000,12,84460
10007,2012,2,110000,12,82880
10007,2013,3,40000,16,103360
10007,2014,3,519967,0,0
10007,2015,3,61375,6,57800
10009,2005,5,80000,54,496000
10009,2006,7,120000,58,615200
10009,2007,4,65000,40,426330
10009,2008,4,65000,44,514800
10009,2009,5,110000,28,422000
10009,2010,6,140000,34,465732
10009,2011,4,72500,26,305794
10009,2012,4,230000,42,424164
10009,2013,7,115000,32,360200
10009,2014,3,50000,2,10000
10009,2015,5,119000,42,453600
10010,2005,6,559485,52,556800
10010,2006,5,179174,70,819528
10010,2007,5,850200,46,698170
10010,2008,8,1124715,48,586900
10010,2009,7,1459300,38,477200
10010,2010,9,1267600,24,176382
10010,2011,6,900306,18,173734
10010,2012,5,810625,22,179140
10010,2013,6,753000,32,412028
10010,2014,5,759366,0,0
10010,2015,4,810600,12,160400
10011,2005,15,1015206,158,1948332
10011,2006,11,364000,120,1617278
10011,2007,12,316250,140,2225078
10011,2008,13,404000,138,2307396
10011,2009,22,740500,110,1798642
10011,2010,18,707000,138,2186204
10011,2011,20,954989,120,1785758
10011,2012,15,804467,106,1412726
10011,2013,13,535957,108,1602202
10011,2014,11,385000,34,487564
10011,2015,12,407000,86,1261200
10012,2005,10,257073,136,1824300
10012,2006,15,327923,152,1869758
10012,2007,14,1056647,158,2352900
10012,2008,16,1133747,168,2492478
10012,2009,14,495000,132,1777656
10012,2010,13,341885,122,1235018
10012,2011,14,644085,118,1283760
10012,2012,15,1044591,94,957946
10012,2013,12,437695,90,938180
10012,2014,11,280000,10,277000
10012,2015,12,297000,100,1095400
10013,2005,18,663500,278,6134240
10013,2006,11,262000,248,5459860
10013,2007,14,355500,234,5752486
10013,2008,13,255000,280,7120010
10013,2009,18,686500,196,6616576
10013,2010,15,484500,224,3186614
10013,2011,19,627500,204,3031258
10013,2012,15,542000,212,2954084
10013,2013,18,665000,202,2943630
10013,2014,23,762500,6,41000
10013,2015,15,490000,116,1624860
10014,2005,12,485225,78,866718
10014,2006,15,733500,68,926478
10014,2007,12,417500,62,913340
10014,2008,14,540000,68,1394854
10014,2009,22,1048275,50,901200
10014,2010,20,1145450,68,1025108
10014,2011,16,862000,56,717038
10014,2012,15,1016332,56,727720
10014,2013,13,490000,72,1008300
10014,2014,15,640680,14,168200
10014,2015,15,6e+05,80,1342840
10016,2005,7,460000,26,340800
10016,2006,5,130000,40,493000
10016,2007,5,175000,50,554660
10016,2008,5,192987,56,697750
10016,2009,7,4e+05,28,475200
10016,2010,4,150000,42,516480
10016,2011,7,199869,50,552414
10016,2012,5,275000,48,497048
10016,2013,7,177075,58,695230
10016,2014,5,190000,6,37200
10016,2015,11,1024334,38,589720
10017,2005,3,48000,20,136244
10017,2006,3,80000,22,198300
10017,2007,3,85000,40,339850
10017,2008,4,42500,24,253600
10017,2009,8,217500,20,179448
10017,2010,4,85000,34,296242
10017,2011,5,118000,30,295742
10017,2012,4,155000,26,218000
10017,2013,3,55000,26,233392
10017,2014,3,115000,4,14200
10017,2015,6,160000,26,260832
10018,2005,25,1329332,192,3043200
10018,2006,20,988000,200,3410600
